final_cik,breach_date,org_name,reported_date,fcc_form499,permno,immediate_disclosure,firm_size_log,leverage,roa,prior_breaches_1yr,health_breach,rs_exec_departure_30_rd,rs_ceo_departure_30_rd,rs_director_departure_30_rd,any_502_30_rd,rs_exec_departure_nopre_30_rd,rs_exec_departure_90_rd,rs_ceo_departure_90_rd,rs_director_departure_90_rd,any_502_90_rd,rs_exec_departure_nopre_90_rd,rs_exec_departure_180_rd,rs_ceo_departure_180_rd,rs_director_departure_180_rd,any_502_180_rd,rs_exec_departure_nopre_180_rd,rs_days_to_first_exec_departure_rd,rs_placebo_exec_departure_rd,rs_baseline_exec_departures_rd,rs_baseline_exec_rate_py_rd,rs_exec_departure_30_bd,rs_ceo_departure_30_bd,rs_director_departure_30_bd,any_502_30_bd,rs_exec_departure_nopre_30_bd,rs_exec_departure_90_bd,rs_ceo_departure_90_bd,rs_director_departure_90_bd,any_502_90_bd,rs_exec_departure_nopre_90_bd,rs_exec_departure_180_bd,rs_ceo_departure_180_bd,rs_director_departure_180_bd,any_502_180_bd,rs_exec_departure_nopre_180_bd,rs_days_to_first_exec_departure_bd,rs_placebo_exec_departure_bd,rs_baseline_exec_departures_bd,rs_baseline_exec_rate_py_bd,exec_departure_30_rd,ceo_departure_30_rd,director_departure_30_rd,exec_departure_nopre_30_rd,exec_departure_90_rd,ceo_departure_90_rd,director_departure_90_rd,exec_departure_nopre_90_rd,exec_departure_180_rd,ceo_departure_180_rd,director_departure_180_rd,exec_departure_nopre_180_rd,days_to_first_exec_departure_rd,placebo_exec_departure_rd,baseline_exec_departures_rd,baseline_exec_rate_py_rd,exec_departure_30_bd,ceo_departure_30_bd,director_departure_30_bd,exec_departure_nopre_30_bd,exec_departure_90_bd,ceo_departure_90_bd,director_departure_90_bd,exec_departure_nopre_90_bd,exec_departure_180_bd,ceo_departure_180_bd,director_departure_180_bd,exec_departure_nopre_180_bd,days_to_first_exec_departure_bd,placebo_exec_departure_bd,baseline_exec_departures_bd,baseline_exec_rate_py_bd,outcome_cik,has_8k_activity,prior12m_mktadj_ret_rd,prior12m_ndays_rd,prior12m_mktadj_ret_bd,prior12m_ndays_bd,sic2,reported_year,breach_year,in_analysis_sample,bd180_before_rd
20520,2023-12-18,"Frontier Communications Parent, Inc.",2024-06-12 00:00:00,1,21297.0,0.0,9.8322,0.7243,0.0237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,20520,1,0.24947791477823378,251,-0.19654183205820042,250,48,2024,2023,1,0
20520,2024-04-13,"Frontier Communications Parent, Inc.",2024-06-06 00:00:00,1,21297.0,0.0,9.9376,0.7449,0.0014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,20520,1,0.45272480125043724,251,-0.1584292073564273,251,48,2024,2024,1,0
20520,2024-06-10,"Frontier Communications Parent, Inc.",2024-06-10 00:00:00,1,21297.0,1.0,9.9376,0.7449,0.0014,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,20520,1,0.3298754347758852,250,0.3298754347758852,250,48,2024,2024,1,0
27904,2017-09-01,"Delta Air Lines, Inc.",2018-04-13 00:00:00,0,91926.0,0.0,10.8447,0.7603,0.0853,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,2,1.3273,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,27904,1,0.053800689193113316,251,0.15174773486497228,252,34,2018,2017,1,1
27904,2017-09-26,"Delta Air Lines, Inc.",2018-04-13 00:00:00,0,91926.0,0.0,10.8447,0.7603,0.0853,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,1,0.6636,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,2,1.3273,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,27904,1,0.053800689193113316,251,0.09844527939294778,252,34,2018,2017,1,1
33185,2014-01-31,"Equifax, Inc.",2014-03-05 00:00:00,0,52476.0,0.0,8.4207,0.4843,0.0775,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,68.0,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,101.0,0,1,0.6636,0,0,0,0,1,0,0,1,1,0,0,1,68.0,0,1,0.6636,0,0,0,0,0,0,0,0,1,0,0,1,101.0,0,1,0.6636,33185,1,0.023408433845264254,252,0.014289995473472983,252,34,2014,2014,1,0
33185,2016-01-01,TALX Corporation,2017-05-15 00:00:00,0,52476.0,0.0,8.4138,0.4787,0.0952,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,134.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,0,0,0,0,0,0,0,0,1,1,0,1,134.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,33185,1,-0.08033579014236802,251,0.40932821439379496,252,34,2017,2016,1,1
33185,2016-04-18,TALX Corporation,2017-07-21 00:00:00,0,52476.0,0.0,8.4138,0.4787,0.0952,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,67.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,0.6636,0,0,0,0,1,1,0,1,1,1,0,1,67.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,33185,1,-0.09810201221208881,252,0.2997307966461814,251,34,2017,2016,1,1
33185,2017-03-09,TALX Corporation,2017-05-19 00:00:00,0,52476.0,0.0,8.8045,0.5916,0.0733,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,130.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,1,130.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,33185,1,-0.06450558919870297,252,0.034144279530827104,252,34,2017,2017,1,0
40704,2022-11-18,"General Mills, Inc.",2023-01-12 00:00:00,0,17144.0,0.0,10.3446,0.653,0.0871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,0.6636,40704,1,0.41306095190161507,251,0.47818439685407177,252,20,2023,2022,1,0
