window,ame,se_cluster,p,ci_lo,ci_hi
30,0.0238,0.0306,0.4362,-0.0362,0.0839
90,-0.0225,0.0573,0.6944,-0.1348,0.0897
180,0.0392,0.0857,0.6475,-0.1288,0.2071
