sample,outcome,anchor,window,version,group,n,v1_rate,v2_rate,flips_0_to_1,flips_1_to_0
Q1 Essay 3 sample 340,director_departure,rd,30,v2 primary (person-merged),treated,106,0.1038,0.0755,0,3
Q1 Essay 3 sample 340,director_departure,rd,30,v2 primary (person-merged),control,234,0.0085,0.0128,1,0
Q1 Essay 3 sample 340,director_departure,rd,30,v2 rs (restatement-dated),treated,106,0.1038,0.0849,0,2
Q1 Essay 3 sample 340,director_departure,rd,30,v2 rs (restatement-dated),control,234,0.0085,0.0128,1,0
Q1 Essay 3 sample 340,director_departure,rd,90,v2 primary (person-merged),treated,106,0.1792,0.1698,0,1
Q1 Essay 3 sample 340,director_departure,rd,90,v2 primary (person-merged),control,234,0.0556,0.0684,3,0
Q1 Essay 3 sample 340,director_departure,rd,90,v2 rs (restatement-dated),treated,106,0.1792,0.1792,0,0
Q1 Essay 3 sample 340,director_departure,rd,90,v2 rs (restatement-dated),control,234,0.0556,0.0684,3,0
Q1 Essay 3 sample 340,director_departure,rd,180,v2 primary (person-merged),treated,106,0.2075,0.1981,0,1
Q1 Essay 3 sample 340,director_departure,rd,180,v2 primary (person-merged),control,234,0.1624,0.1795,6,2
Q1 Essay 3 sample 340,director_departure,rd,180,v2 rs (restatement-dated),treated,106,0.2075,0.2075,0,0
Q1 Essay 3 sample 340,director_departure,rd,180,v2 rs (restatement-dated),control,234,0.1624,0.188,6,0
Q1 Essay 3 sample 340,director_departure,bd,30,v2 primary (person-merged),treated,106,0.066,0.0472,0,2
Q1 Essay 3 sample 340,director_departure,bd,30,v2 primary (person-merged),control,234,0.0171,0.0214,1,0
Q1 Essay 3 sample 340,director_departure,bd,30,v2 rs (restatement-dated),treated,106,0.066,0.0472,0,2
Q1 Essay 3 sample 340,director_departure,bd,30,v2 rs (restatement-dated),control,234,0.0171,0.0214,1,0
Q1 Essay 3 sample 340,director_departure,bd,90,v2 primary (person-merged),treated,106,0.1887,0.1887,0,0
Q1 Essay 3 sample 340,director_departure,bd,90,v2 primary (person-merged),control,234,0.0812,0.0983,4,0
Q1 Essay 3 sample 340,director_departure,bd,90,v2 rs (restatement-dated),treated,106,0.1887,0.1887,0,0
Q1 Essay 3 sample 340,director_departure,bd,90,v2 rs (restatement-dated),control,234,0.0812,0.0983,4,0
Q1 Essay 3 sample 340,director_departure,bd,180,v2 primary (person-merged),treated,106,0.2358,0.2358,0,0
Q1 Essay 3 sample 340,director_departure,bd,180,v2 primary (person-merged),control,234,0.1667,0.1795,3,0
Q1 Essay 3 sample 340,director_departure,bd,180,v2 rs (restatement-dated),treated,106,0.2358,0.2358,0,0
Q1 Essay 3 sample 340,director_departure,bd,180,v2 rs (restatement-dated),control,234,0.1667,0.1795,3,0
Q2 scope 341,exec_departure,rd,30,v2 primary (person-merged),treated,107,0.0467,0.0374,0,1
Q2 scope 341,exec_departure,rd,30,v2 primary (person-merged),control,234,0.0385,0.0427,1,0
Q2 scope 341,exec_departure,rd,30,v2 rs (restatement-dated),treated,107,0.0467,0.0654,2,0
Q2 scope 341,exec_departure,rd,30,v2 rs (restatement-dated),control,234,0.0385,0.0427,1,0
