accession,sub_row,person,title,role_class,action,verb,sentence
0001104659-12-080906,3,Dr. James,Board as such directors,director,departure,retire,"The special committee will use its best efforts to recommend a successor to Jim Rogers to the full Board by July 1, 2013 but in no event later than December 31, 2013. · The Board will elect one new Board member no later than April 15, 2013 and a second new Board member within twelve months from the date of the Settlement Agreement. · The Company will cause the current Board members, other than Dr. James T. Rhodes, to retire from the Board as such directors reach mandatory retirement age, pursuan"
0001104659-13-014407,1,John T. Herron,director,director,election,elect,"On February 26, 2013, John T. Herron, President, Chief Executive Officer and Chief Nuclear Officer of Entergy Nuclear, was appointed to the Board of Directors (the “Board”) of Duke Energy Corporation (the “Company”), effective March 1, 2013."
0001104659-13-014407,2,John T. Herron,director,director,election,elect,Mr. Herron has also been appointed to the Leadership Development Committee and the Nuclear Oversight Committee of the Board.
0001104659-13-049764,1,Duke Energy,director,director,election,elect,"Appointment of Principal Executive Officer and Director of Duke Energy Corporation On June 18, 2013, Duke Energy Corporation (“Duke Energy” or the “Corporation”) announced that Ms. Lynn J. Good was appointed as the President and Chief Executive Officer and a Director of Duke Energy, effective July 1, 2013."
0001104659-13-049764,2,Ms. Good,Executive Vice President Chief Financial Officer,CFO,departure,termination of employment,The non-competition and non-solicitation obligations survive for two years following Ms. Good’s termination of employment.
0001104659-13-049764,3,Duke Energy,President and Chief Executive Officer,CEO,departure,Retirement,"Retirement of James E. Rogers On June 18, 2013, Duke Energy announced that Mr. James E. Rogers will retire as President and Chief Executive Officer effective July 1, 2013 and as Chairman and Director of Duke Energy when his employment agreement, dated February 19, 2009, as amended, expires at the end of 2013."
0001104659-13-060144,1,Mr. Steven,Executive Vice President and Chief Financial Officer,CFO,appointment,appointed,"On August 6, 2013, Duke Energy Corporation (the “Corporation”) announced that Mr. Steven K. Young, Vice President, Chief Accounting Officer and Controller , was appointed as Executive Vice President and Chief Financial Officer of the Corporation, effective August 6, 2013."
0001104659-13-060144,2,Mr. Young,Controller,PAO,appointment,to serve as,Mr. Young will continue to serve as Chief Accounting Officer and Controller until his successor is named.
0001104659-13-060144,3,Mr. Young,Executive Vice President and Chief Financial Officer,CFO,appointment,appointment,"In connection with the appointment of Mr. Young to Executive Vice President and Chief Financial Officer, the Compensation Committee of the Board of Directors of the Corporation, effective as of August 6, 2013, approved an increase in his annual base salary from $333,952 to $525,000, an increase in his short-term incentive opportunity from 50% to 70% of his annual base salary, and an increase in his long-term incentive opportunity from 100% to 150% of his annual base salary."
0001104659-13-067275,1,Mr. Brian,"Vice President, Chief Accounting Officer and Controller",PAO,appointment,appointed,"On August 30, 2013, Duke Energy Corporation (the “Corporation”) announced that Mr. Brian D. Savoy was appointed as Vice President, Chief Accounting Officer and Controller, effective September 1, 2013."
0001104659-13-067275,2,Mr. Savoy,"Vice President, Chief Accounting Officer and Controller",PAO,appointment,appointment,"In connection with the appointment of Mr. Savoy to Vice President, Chief Accounting Officer and Controller, the Compensation Committee of the Board of Directors of the Corporation, effective as of September 1, 2013, approved an increase in his annual base salary from $219,910 to $260,000, an increase in his short-term incentive opportunity from 40% to 50% of his annual base salary, and an increase in his long-term incentive opportunity from 40% to 80% of his annual base salary."
0001104659-13-086631,1,William E. Kennard,director,director,election,elect,"On November 22, 2013, William E. Kennard was appointed to the Board of Directors (the “Board”) of Duke Energy Corporation (the “Company”), effective January 1, 2014."
