window,final_cik,name,treated_cluster,n_events,coef_without,share,sign_flip
30,4904,American Electric Power,0,2,0.0162,0.0004,0
30,8670,"Automatic Data Processing, Inc.",0,1,0.0166,0.0001,0
30,12927,The Boeing Company,0,1,0.0166,0.0001,0
30,18926,CenturyLink,1,5,0.0186,0.0026,0
30,20520,Frontier Communications,1,4,0.0201,0.0091,0
30,27904,"Delta Air Lines, Inc.",0,2,0.0163,0.0003,0
30,33185,"Equifax, Inc.",0,4,0.0168,0.0,0
30,40704,"General Mills, Inc.",0,1,0.0165,0.0001,0
30,43196,"Gray Television, Inc.",0,3,0.0167,0.0,0
30,47111,The Hershey Company,0,1,0.0168,0.0,0
30,47217,Hewlett-Packard Company,0,5,0.0153,0.0023,0
30,51143,IBM,0,2,0.0163,0.0003,0
30,73309,Nucor Corporation,0,1,0.0166,0.0001,0
30,75362,PACCAR,0,1,0.0166,0.0001,0
30,76334,Parker-Hannifin Corporation,0,1,0.0168,0.0,0
30,77476,"PepsiCo, Inc.",0,1,0.0165,0.0001,0
30,78003,Pfizer Inc,0,1,0.0166,0.0001,0
30,91419,The J.M. Smucker Company,0,1,0.0167,0.0,0
30,91440,Snap-on Incorporated,0,1,0.0169,0.0,0
30,92380,Southwest Airlines Co.,0,2,0.0165,0.0001,0
30,96021,Sysco Corporation,0,1,0.0167,0.0,0
30,101830,Sprint Nextel,1,12,0.0109,0.0325,0
30,277135,"W.W. Grainger, Inc.",0,2,0.0167,0.0,0
30,315293,Aon Corporation,0,1,0.0167,0.0,0
30,318154,Amgen Inc.,0,2,0.0166,0.0001,0
30,320193,Apple Inc.,0,7,0.0244,0.0517,0
30,354190,Gallagher NAC,0,2,0.0165,0.0001,0
30,354950,The Home Depot,0,1,0.0166,0.0001,0
30,723254,Cintas Corporation,0,1,0.0167,0.0,0
30,732712,Verizon,1,11,0.0187,0.0028,0
30,732717,AT&T,1,26,0.0226,0.0298,0
30,764180,"Altria Group, Inc.",0,1,0.0165,0.0001,0
30,773840,Honeywell International Inc.,0,3,0.0164,0.0003,0
30,789019,Microsoft Corporation,0,5,0.0152,0.0025,0
30,789570,MGM Resorts International,0,2,0.0164,0.0002,0
30,796343,Adobe Systems Incorporated,0,3,0.0166,0.0001,0
30,815097,Carnival Corporation,0,2,0.0165,0.0001,0
30,823768,"USA Waste-Management Resources, LLC",0,1,0.0168,0.0,0
30,831259,Freeport-McMoRan Inc.,0,1,0.0165,0.0001,0
30,858877,"Cisco Systems, Inc.",0,2,0.0162,0.0005,0
30,860731,"Tyler Technologies, Inc.",0,1,0.017,0.0,0
30,872589,"Regeneron Pharmaceuticals, Inc.",0,1,0.017,0.0,0
30,896878,"Intuit, Inc.",0,78,0.015,0.0031,0
30,908937,Sirius XM Radio Inc.,0,15,0.0128,0.0153,0
30,920522,"Essex Property Trust, Inc.",0,1,0.0167,0.0,0
30,926480,The Walt Disney Company,0,1,0.0165,0.0001,0
30,943452,Wabtec Corporation,0,1,0.0166,0.0001,0
30,1000228,"Henry Schein, Inc.",0,1,0.0168,0.0,0
30,1001082,"DISH Network, LLC",1,2,0.0174,0.0002,0
30,1001250,The Est̩e Lauder Companies Inc.,0,3,0.0165,0.0001,0
30,1041061,"Yum! Brands, Inc.",0,1,0.0173,0.0002,0
30,1048911,"FedEx Ground Package System, Inc.",0,1,0.0166,0.0001,0
30,1051470,Crown Castle,0,2,0.0165,0.0001,0
30,1058290,Cognizant Technology Solutions Corporation,0,1,0.0167,0.0,0
30,1060391,Republic Services,0,5,0.0159,0.0009,0
30,1091667,"Charter Communications, Inc.",1,8,0.0191,0.0044,0
30,1108524,Salesforce.com,0,1,0.0128,0.0154,0
30,1123360,"Global Payments, Inc.",0,2,0.0143,0.0062,0
30,1136893,"Fidelity National Information Services, Inc.",0,12,0.0388,0.4397,0
30,1137789,Seagate Technology LLC,0,1,0.0219,0.0232,0
30,1140859,"Cencora, Inc.",0,3,0.0167,0.0,0
30,1166691,Comcast,1,12,0.0185,0.0025,0
30,1283699,"T-Mobile USA, Inc.",1,26,-0.0022,0.3328,1
30,1326160,Duke Energy Corporation,0,3,0.0162,0.0005,0
30,1341439,Oracle Corporation,0,1,0.0166,0.0001,0
30,1373715,ServiceNow Inc.,0,1,0.0166,0.0001,0
30,1428439,Roku Inc.,0,3,0.0166,0.0001,0
30,1447669,Twilio,1,2,0.019,0.004,0
30,1501585,"Huntington Ingalls Industries, Inc.",0,1,0.0168,0.0,0
30,1510295,Marathon Petroleum Company LP,0,1,0.0166,0.0001,0
30,1535527,"CrowdStrike Holdings, Inc.",0,2,0.0165,0.0001,0
30,1543151,"Uber Technologies, Inc.",0,3,0.0161,0.0005,0
30,1553023,"CyrusOne, Inc.",0,1,0.0168,0.0,0
30,1564408,Snap Inc.,0,1,0.0167,0.0,0
30,1590895,"Caesars Entertainment, Inc.",0,1,0.0166,0.0001,0
30,1609711,GoDaddy.com LLC,1,3,0.0185,0.0025,0
30,1632127,"Cable One, Inc.",1,2,0.0202,0.0103,0
30,1640147,Snowflake Inc.,0,2,0.0166,0.0001,0
30,1645590,Hewlett Packard Enterprise Company,0,1,0.0165,0.0001,0
30,1660134,"Okta, Inc.",0,3,0.0167,0.0,0
30,1808065,Aon Corporation PLC,0,2,0.0166,0.0001,0
90,4904,American Electric Power,0,2,-0.0186,0.0005,0
90,8670,"Automatic Data Processing, Inc.",0,1,-0.018,0.0003,0
90,12927,The Boeing Company,0,1,-0.0184,0.0004,0
90,18926,CenturyLink,1,5,-0.008,0.0065,0
90,20520,Frontier Communications,1,4,-0.0291,0.0152,0
90,27904,"Delta Air Lines, Inc.",0,2,-0.0192,0.0008,0
90,33185,"Equifax, Inc.",0,4,-0.0183,0.0004,0
