script,reads_executive_changes_csv,reads_DEDUPLICATED_ENRICHED,uses_executive_change_columns,run_all,run_all_line
scripts/root_dev_archive/rebuild_tables_4_5_7_with_log.py,False,True,False,not in run_all,
scripts/root_dev_archive/reconcile_appendix_numbers.py,False,True,False,not in run_all,
scripts/root_dev_archive/verify_factor_models.py,False,True,False,not in run_all,
scripts/run_causal_identification_pipeline.py,False,True,False,not in run_all,
scripts/run_causal_identification_pipeline_BROKEN_June22.py,False,True,False,not in run_all,
scripts/run_enrichments.py,True,False,False,not in run_all,
scripts/sample_composition_diagnostic.py,False,True,False,active,443
scripts/scm_breach_event_level.py,False,True,False,not in run_all,
scripts/scm_breach_event_nearest_neighbor.py,False,True,False,not in run_all,
scripts/scm_breach_event_numpy.py,False,True,False,not in run_all,
scripts/scm_breach_event_numpy_fast.py,False,True,False,not in run_all,
scripts/scm_data_preparation_BROKEN_June22.py,False,True,True,not in run_all,
scripts/scm_mahalanobis_distance.py,False,True,False,active,366
scripts/scpi_corrected.py,False,True,False,not in run_all,
scripts/scpi_scm_implementation.py,False,True,False,not in run_all,
scripts/scpi_simple.py,False,True,False,not in run_all,
scripts/sec_2023_rule_preliminary.py,False,True,False,not in run_all,
scripts/step2_match_prc_to_edgar.py,False,True,False,not in run_all,
scripts/step2_match_prc_to_sec_efficient.py,False,True,False,not in run_all,
scripts/step2_match_prc_to_sec_historical.py,False,True,False,not in run_all,
scripts/step2b_enhance_manual_worksheet.py,False,True,False,not in run_all,
scripts/verify_cfo_placebo.py,False,True,True,not in run_all,
scripts/verify_cox_schoenfeld.py,False,True,True,not in run_all,
scripts/verify_duplicate_candidates.py,False,True,False,not in run_all,
scripts/verify_fcc_entity_assignments.py,False,True,False,not in run_all,
scripts/verify_h4_coefficient.py,False,True,False,not in run_all,
