window,sensitivity,y,n,G,G1,coef,se_hc3,p_hc3,se_cv1,p_cv1,se_cv3,p_cv3,ci_cv3_lo,ci_cv3_hi,mde80_cv3,treated_mean,control_mean,p_wcr,B_wcr,row_type,hc3_status
90,"recall-corrected, treated recall at CI low / control at CI high (r_T=0.604, r_C=0.927)",y_corr,338,81,12,0.0457,0.065,0.4828,0.0768,0.5535,0.1227,0.7105,-0.1985,0.2899,0.348,0.1857,0.1728,0.6123,9999,BOUNDING EXERCISE (recall CI endpoints; not an estimate),DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
90,"recall-corrected, treated recall at CI high / control at CI low (r_T=0.966, r_C=0.476)",y_corr,338,81,12,-0.1535,0.0806,0.0576,0.1026,0.1385,0.2055,0.4572,-0.5625,0.2555,0.5829,0.1161,0.3365,0.2862,9999,BOUNDING EXERCISE (recall CI endpoints; not an estimate),DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
180,year FE (reported year),exec_departure_180_rd,338,81,12,0.0636,0.0707,0.3692,0.0694,0.3624,0.0903,0.4832,-0.116,0.2432,0.256,0.3178,0.2511,0.3899,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
180,two-digit SIC FE,exec_departure_180_rd,338,81,12,0.1494,0.1022,0.145,0.1609,0.3561,0.2493,0.5508,-0.3468,0.6455,0.7071,0.3178,0.2511,0.4848,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
180,breach_date anchor,exec_departure_180_bd,337,81,12,-0.0334,0.0626,0.5939,0.0894,0.7095,0.1241,0.7885,-0.2805,0.2137,0.3521,0.2243,0.2391,0.7457,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
180,excluding pre-announced departures,exec_departure_nopre_180_rd,338,81,12,0.0932,0.0631,0.1406,0.0864,0.2837,0.1128,0.411,-0.1313,0.3177,0.3199,0.2897,0.2121,0.3585,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
180,excluding the F2 baseline control,exec_departure_180_rd,338,81,12,0.0445,0.0665,0.5035,0.0821,0.5889,0.1043,0.6706,-0.163,0.2521,0.2958,0.3178,0.2511,0.6313,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
180,restatement-dated outcome (rs),rs_exec_departure_180_rd,338,81,12,0.0161,0.0671,0.8109,0.1053,0.879,0.1728,0.9261,-0.3278,0.36,0.4901,0.3551,0.2771,0.9036,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
180,"recall-corrected, audit point estimates (r_T=0.842, r_C=0.750)",y_corr,338,81,12,0.0135,0.0842,0.8727,0.1066,0.8995,0.1458,0.9264,-0.2767,0.3037,0.4136,0.3773,0.3348,0.9106,9999,estimate,DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
180,"recall-corrected, treated recall at CI low / control at CI high (r_T=0.604, r_C=0.927)",y_corr,338,81,12,0.2225,0.0936,0.018,0.1151,0.0567,0.1543,0.1532,-0.0846,0.5296,0.4377,0.5261,0.2709,0.123,9999,BOUNDING EXERCISE (recall CI endpoints; not an estimate),DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
180,"recall-corrected, treated recall at CI high / control at CI low (r_T=0.966, r_C=0.476)",y_corr,338,81,12,-0.2333,0.1104,0.0353,0.1407,0.1013,0.1989,0.2444,-0.6291,0.1626,0.5641,0.3289,0.5275,0.146,9999,BOUNDING EXERCISE (recall CI endpoints; not an estimate),DISQUALIFIED (ignores within-parent clustering; inference = CV3/WCR; do not read p_hc3 as significance)
