cik,form,filing_date,items,accession,primary_doc,size,in_spec_scope,local_file
732717,8-K,2020-04-28,"5.02,5.07",0001193125-20-123202,d913267d8k.htm,533502,1,Data\edgar\item5_02_text\732717\0001193125-20-123202_d913267d8k.htm
732717,8-K,2020-06-26,"5.02,5.03,9.01",0000732717-20-000020,form8k.htm,804912,1,Data\edgar\item5_02_text\732717\0000732717-20-000020_form8k.htm
732717,8-K,2020-11-17,5.02,0001193125-20-296128,d23235d8k.htm,478131,1,Data\edgar\item5_02_text\732717\0001193125-20-296128_d23235d8k.htm
732717,8-K,2021-01-25,"5.02,9.01",0001193125-21-015737,d21535d8k.htm,533713,1,Data\edgar\item5_02_text\732717\0001193125-21-015737_d21535d8k.htm
732717,8-K,2021-03-30,"5.02,9.01",0001193125-21-100281,d167058d8k.htm,518271,1,Data\edgar\item5_02_text\732717\0001193125-21-100281_d167058d8k.htm
732717,8-K,2021-06-25,5.02,0001193125-21-199754,d139615d8k.htm,465176,1,Data\edgar\item5_02_text\732717\0001193125-21-199754_d139615d8k.htm
732717,8-K/A,2021-12-06,5.02,0000732717-21-000088,t-20210625.htm,615085,1,Data\edgar\item5_02_text\732717\0000732717-21-000088_t-20210625.htm
732717,8-K,2022-03-15,"5.02,7.01,9.01",0001193125-22-076137,d330864d8k.htm,520063,1,Data\edgar\item5_02_text\732717\0001193125-22-076137_d330864d8k.htm
732717,8-K,2022-07-01,5.02,0000732717-22-000073,a8-kdial.htm,51705,1,Data\edgar\item5_02_text\732717\0000732717-22-000073_a8-kdial.htm
732717,8-K/A,2022-08-04,5.02,0000732717-22-000091,t-20220630.htm,615331,1,Data\edgar\item5_02_text\732717\0000732717-22-000091_t-20220630.htm
732717,8-K,2023-02-02,"5.02,5.03,9.01",0001193125-23-022845,d457902d8k.htm,601159,1,Data\edgar\item5_02_text\732717\0001193125-23-022845_d457902d8k.htm
732717,8-K,2024-03-01,"5.02,9.01",0000732717-24-000012,t-20240301.htm,462046,1,Data\edgar\item5_02_text\732717\0000732717-24-000012_t-20240301.htm
764180,8-K,2004-12-17,"5.02,5.03,9.01",0000950117-04-004470,a38915.htm,77460,0,Data\edgar\item5_02_text\764180\0000950117-04-004470_a38915.htm
764180,8-K/A,2005-03-02,5.02,0001193125-05-040688,d8ka.htm,14091,0,Data\edgar\item5_02_text\764180\0001193125-05-040688_d8ka.htm
764180,8-K/A,2005-03-02,5.02,0001193125-05-040686,d8ka.htm,13474,0,Data\edgar\item5_02_text\764180\0001193125-05-040686_d8ka.htm
764180,8-K,2007-02-02,"5.02,9.01",0001193125-07-019313,d8k.htm,53952,1,Data\edgar\item5_02_text\764180\0001193125-07-019313_d8k.htm
773840,8-K,2019-07-08,5.02,0000930413-19-002021,c93930_8k.htm,19845,0,Data\edgar\item5_02_text\773840\0000930413-19-002021_c93930_8k.htm
773840,8-K,2019-07-26,5.02,0000773840-19-000018,c917648k.htm,232845,0,Data\edgar\item5_02_text\773840\0000773840-19-000018_c917648k.htm
773840,8-K,2019-10-08,"5.02,8.01,9.01",0000930413-19-002643,c94369_8k-ixbrl.htm,221832,0,Data\edgar\item5_02_text\773840\0000930413-19-002643_c94369_8k-ixbrl.htm
773840,8-K,2019-10-16,5.02,0000930413-19-002693,c94427_8k.htm,185343,0,Data\edgar\item5_02_text\773840\0000930413-19-002693_c94427_8k.htm
773840,8-K,2019-12-06,"5.02,9.01",0000773840-19-000029,c917648k.htm,284785,0,Data\edgar\item5_02_text\773840\0000773840-19-000029_c917648k.htm
773840,8-K,2020-02-28,"5.02,9.01",0000773840-20-000011,c917648k.htm,272202,1,Data\edgar\item5_02_text\773840\0000773840-20-000011_c917648k.htm
773840,8-K,2020-06-11,5.02,0000773840-20-000031,hon-20200605.htm,253322,1,Data\edgar\item5_02_text\773840\0000773840-20-000031_hon-20200605.htm
