deleted_parent_cik,coef_without,cluster_size,partial_leverage_share,window
91419,0.0432,1,0.0001,180
91440,0.0451,1,0.0031,180
92380,0.041,2,0.0025,180
96021,0.0497,1,0.0033,180
101830,0.0386,12,0.0549,180
277135,0.043,2,0.0001,180
315293,0.0501,1,0.0037,180
318154,0.0371,2,0.0112,180
320193,0.0318,7,0.0436,180
354190,0.0411,2,0.002,180
354950,0.0492,1,0.0028,180
723254,0.0446,1,0.0001,180
732712,0.0261,11,0.0303,180
732717,0.0704,26,0.0616,180
764180,0.0405,1,0.0056,180
773840,0.0412,3,0.0091,180
789019,0.043,5,0.0363,180
789570,0.0471,2,0.0075,180
796343,0.0424,3,0.0006,180
815097,0.0509,2,0.0065,180
823768,0.0433,1,0.0,180
831259,0.0498,1,0.0029,180
858877,0.0387,2,0.0077,180
860731,0.0443,1,0.001,180
872589,0.0446,1,0.0012,180
896878,0.0388,78,0.0088,180
908937,0.0119,15,0.0237,180
920522,0.0445,1,0.0001,180
926480,0.0414,1,0.0029,180
943452,0.0426,1,0.0009,180
1000228,0.0447,1,0.0019,180
1001082,0.0269,2,0.0154,180
1001250,0.0379,3,0.0047,180
1041061,0.053,1,0.0032,180
1048911,0.0423,1,0.0011,180
1051470,0.0392,2,0.0045,180
1058290,0.0431,1,0.0001,180
1060391,0.0482,5,0.0085,180
1091667,0.0662,8,0.0355,180
1108524,0.04,1,0.0008,180
1123360,0.042,2,0.0006,180
1136893,0.0942,12,0.0672,180
1137789,0.0478,1,0.0013,180
1140859,0.0364,3,0.0105,180
1166691,0.0914,12,0.0514,180
1283699,-0.0196,26,0.1055,180
1326160,0.0475,3,0.0221,180
1341439,0.0413,1,0.0029,180
1373715,0.0471,1,0.0009,180
1428439,0.043,3,0.0001,180
1447669,0.0572,2,0.04,180
1501585,0.044,1,0.0004,180
1510295,0.0492,1,0.0026,180
1535527,0.0426,2,0.0007,180
1543151,0.0599,3,0.0158,180
1553023,0.043,1,0.0,180
1564408,0.0452,1,0.0013,180
1590895,0.0406,1,0.005,180
1609711,0.0406,3,0.0378,180
1632127,0.0508,2,0.0479,180
1640147,0.0422,2,0.0004,180
1645590,0.0417,1,0.004,180
1660134,0.043,3,0.0016,180
1808065,0.0407,2,0.0049,180
