Added Control,FCC Coefficient,FCC SE,FCC P-value,Control Coefficient,Control P-value,N
HHI industry concentration,-0.4283,0.7571,0.5716,-1.3e-05,0.918,648
Breach severity (records affected),-0.4682,0.757,0.5363,0.0,0.3171,648
