window,treated_events,control_events,treated_n,control_n,estimated,reason
30,0,1,109,296,False,fewer than 10 CEO departures in at least one group; counts only
90,4,8,109,296,False,fewer than 10 CEO departures in at least one group; counts only
180,8,24,109,296,False,fewer than 10 CEO departures in at least one group; counts only
