group,n,mean_rate_py,sd,median,p75,max,share_zero,mean_count
treated,109,1.0228,0.8919,0.6636,1.3273,3.9818,0.2385,1.541
control,296,0.9349,1.055,0.6636,1.3273,6.6364,0.3547,1.409
