window,sample,y,n,G,G1,coef,se_hc3,p_hc3,se_cv1,p_cv1,se_cv3,p_cv3,ci_cv3_lo,ci_cv3_hi,mde80_cv3,treated_mean,control_mean,p_wcr,B_wcr,ci_wcr_lo,ci_wcr_hi,G_star,cluster_size_cv
30,v3-overlap,exec_departure_30_rd,347,83.0,13.0,0.0175,0.0227,0.4416,0.0194,0.371,0.0327,0.5946,-0.0476,0.0826,0.0928,0.0367,0.042,0.4791,9999.0,-0.0322,0.0631,24.3,2.235
30,full v4,,405,,,0.0032,,0.9011,,,0.034,0.9252,-0.0641,0.0705,,,,0.9113,,,,,
90,v3-overlap,exec_departure_90_rd,347,83.0,13.0,-0.0301,0.0457,0.5108,0.0537,0.5768,0.1008,0.7661,-0.2306,0.1704,0.2858,0.1009,0.1555,0.6698,9999.0,-0.1601,0.1076,24.3,2.235
90,full v4,,405,,,-0.039,,0.3698,,,0.0799,0.6263,-0.1971,0.1192,,,,0.5395,,,,,
180,v3-overlap,exec_departure_180_rd,347,83.0,13.0,0.0196,0.0649,0.7629,0.0819,0.8115,0.1117,0.8611,-0.2026,0.2418,0.3167,0.3028,0.2521,0.8284,9999.0,-0.1743,0.2117,24.3,2.235
180,full v4,,405,,,0.0227,,0.7094,,,0.1001,0.8211,-0.1756,0.221,,,,0.795,,,,,
