window,coef,se_hc3,se_cv1,se_cv3,wcr_ci_lo,wcr_ci_hi,wcr_implied_se,G_star,cv3_over_hc3,y_mean,y_var,mde80,coef_noTM,se_cv3_noTM,G_noTM,n_noTM,mde80_noTM,share_TM,treated_events,treated_n,control_events,control_n
30,0.004,0.0254,0.0247,0.0334,-0.0553,0.0578,0.0286,24.5,1.318,0.042,0.0403,0.0944,-0.0164,0.0343,118,379,0.0969,0.3692,4,109,13,296
90,-0.041,0.0433,0.0499,0.0791,-0.1596,0.0805,0.0606,24.5,1.827,0.1333,0.1158,0.2234,-0.0687,0.0864,118,379,0.244,0.1235,11,109,43,296
180,0.0233,0.061,0.0782,0.0996,-0.1576,0.2011,0.0906,24.5,1.633,0.2617,0.1937,0.2815,-0.0349,0.0946,118,379,0.2673,0.3388,33,109,73,296
