final_cik,breach_date,org_name,treated,outcome_cik,last_filing,status,t0_rd,censored_30_rd,days_uncovered_30_rd,censored_90_rd,days_uncovered_90_rd,censored_180_rd,days_uncovered_180_rd,never_covered_rd,t0_bd,censored_30_bd,days_uncovered_30_bd,censored_90_bd,days_uncovered_90_bd,censored_180_bd,days_uncovered_180_bd,never_covered_bd
73309,2023-05-26,Nucor Corporation,0,73309,2026-08-03,ok,2023-06-28,0,0,0,0,0,0,0,2023-05-26,0,0,0,0,0,0,0
73756,2024-01-01,"Oceaneering International, Inc.",0,73756,2026-07-31,ok,2024-03-01,0,0,0,0,0,0,0,2024-01-01,0,0,0,0,0,0,0
75362,2018-01-22,PACCAR,0,75362,2026-08-03,ok,2018-02-14,0,0,0,0,0,0,0,2018-01-22,0,0,0,0,0,0,0
76334,2022-03-11,Parker-Hannifin Corporation,0,76334,2026-06-24,ok,2022-05-12,0,0,0,0,0,0,0,2022-03-11,0,0,0,0,0,0,0
77476,2021-02-24,"PepsiCo, Inc.",0,77476,2026-07-29,ok,2022-10-07,0,0,0,0,0,0,0,2021-02-24,0,0,0,0,0,0,0
78003,2006-12-01,Pfizer Inc,0,78003,2026-08-04,ok,2007-08-24,0,0,0,0,0,0,0,2006-12-01,0,0,0,0,0,0,0
91419,2010-04-05,The J.M. Smucker Company,0,91419,2026-07-02,ok,2010-04-29,0,0,0,0,0,0,0,2010-04-05,0,0,0,0,0,0,0
91440,2022-03-01,Snap-on Incorporated,0,91440,2026-07-31,ok,2022-04-07,0,0,0,0,0,0,0,2022-03-01,0,0,0,0,0,0,0
92380,2017-10-01,Southwest Airlines Co.,0,92380,2026-07-23,ok,2018-04-20,0,0,0,0,0,0,0,2017-10-01,0,0,0,0,0,0,0
92380,2018-03-01,Southwest Airlines Co.,0,92380,2026-07-23,ok,2018-04-20,0,0,0,0,0,0,0,2018-03-01,0,0,0,0,0,0,0
96021,2023-01-14,Sysco Corporation,0,96021,2026-08-04,ok,2023-05-16,0,0,0,0,0,0,0,2023-01-14,0,0,0,0,0,0,0
101830,2009-02-01,Sprint Nextel,1,101830,2026-04-30,ok,2009-06-12,0,0,0,0,0,0,0,2009-02-01,0,0,0,0,0,0,0
101830,2009-01-01,Sprint Nextel,1,101830,2026-04-30,ok,2009-03-30,0,0,0,0,0,0,0,2009-01-01,0,0,0,0,0,0,0
101830,2015-08-17,Sprint Corporation,1,101830,2026-04-30,ok,2020-04-09,0,0,0,0,0,0,0,2015-08-17,0,0,0,0,0,0,0
101830,2017-05-01,Sprint Corporation,1,101830,2026-04-30,ok,2017-09-20,0,0,0,0,0,0,0,2017-05-01,0,0,0,0,0,0,0
101830,2017-05-07,Sprint,1,101830,2026-04-30,ok,2017-09-20,0,0,0,0,0,0,0,2017-05-07,0,0,0,0,0,0,0
101830,2018-03-02,Sprint Corporation,1,101830,2026-04-30,ok,2018-03-30,0,0,0,0,0,0,0,2018-03-02,0,0,0,0,0,0,0
101830,2019-03-14,Sprint Corporation,1,101830,2026-04-30,ok,2019-05-09,0,0,0,0,0,0,0,2019-03-14,0,0,0,0,0,0,0
101830,2019-05-09,Sprint Corporation,1,101830,2026-04-30,ok,2019-05-09,0,0,0,0,0,0,0,2019-05-09,0,0,0,0,0,0,0
101830,2019-06-02,Sprint,1,101830,2026-04-30,ok,2019-07-11,0,0,0,0,0,0,0,2019-06-02,0,0,0,0,0,0,0
101830,2019-06-08,Sprint,1,101830,2026-04-30,ok,2019-06-08,0,0,0,0,0,0,0,2019-06-08,0,0,0,0,0,0,0
101830,2019-06-22,Sprint,1,101830,2026-04-30,ok,2019-07-11,0,0,0,0,0,0,0,2019-06-22,0,0,0,0,0,0,0
101830,2019-08-13,Sprint Corporation,1,101830,2026-04-30,ok,2020-03-31,0,0,0,0,0,0,0,2019-08-13,0,0,0,0,0,0,0
1770450,2023-12-10,Xerox Corporation,0,1770450,2026-09-15,ok,2024-02-20,0,0,0,0,0,0,0,2023-12-10,0,0,0,0,0,0,0
277135,2017-08-23,"W.W. Grainger, Inc.",0,277135,2026-08-04,ok,2017-09-18,0,0,0,0,0,0,0,2017-08-23,0,0,0,0,0,0,0
277135,2017-09-26,W.W. Grainger Inc.,0,277135,2026-08-04,ok,2018-04-20,0,0,0,0,0,0,0,2017-09-26,0,0,0,0,0,0,0
315293,2020-12-17,Aon Corporation,0,315293,2026-07-30,ok,2021-05-21,0,0,0,0,0,0,0,2020-12-17,0,0,0,0,0,0,0
318154,2021-04-21,Amgen Inc.,0,318154,2026-07-31,ok,2021-06-22,0,0,0,0,0,0,0,2021-04-21,0,0,0,0,0,0,0
318154,2023-08-16,Amgen Inc.,0,318154,2026-07-31,ok,2024-09-25,0,0,0,0,0,0,0,2023-08-16,0,0,0,0,0,0,0
319687,2013-01-01,United Airlines,0,319687,2026-07-16,ok,2017-07-06,0,0,0,0,0,0,0,2013-01-01,0,0,0,0,0,0,0
320193,2010-06-01,Apple Inc.,0,320193,2026-07-31,ok,2010-06-09,0,0,0,0,0,0,0,2010-06-01,0,0,0,0,0,0,0
320193,2013-07-18,Apple Inc.,0,320193,2026-07-31,ok,2013-07-21,0,0,0,0,0,0,0,2013-07-18,0,0,0,0,0,0,0
320193,2014-08-31,Apple Inc.,0,320193,2026-07-31,ok,2014-08-31,0,0,0,0,0,0,0,2014-08-31,0,0,0,0,0,0,0
320193,2015-07-01,Apple Inc.,0,320193,2026-07-31,ok,2015-08-25,0,0,0,0,0,0,0,2015-07-01,0,0,0,0,0,0,0
320193,2015-09-18,Apple Inc.,0,320193,2026-07-31,ok,2015-09-16,0,0,0,0,0,0,0,2015-09-18,0,0,0,0,0,0,0
320193,2019-02-02,Apple Inc.,0,320193,2026-07-31,ok,2019-05-30,0,0,0,0,0,0,0,2019-02-02,0,0,0,0,0,0,0
320193,2020-11-01,Apple Inc.,0,320193,2026-07-31,ok,2020-11-01,0,0,0,0,0,0,0,2020-11-01,0,0,0,0,0,0,0
1336920,2022-09-30,"Leidos, Inc.",0,1336920,2026-09-02,ok,2023-06-08,0,0,0,0,0,0,0,2022-09-30,0,0,0,0,0,0,0
