window,final_cik,name,treated_cluster,n_events,coef_without,share,sign_flip
90,823768,"USA Waste-Management Resources, LLC",0,1,-0.0391,0.0,0
90,831259,Freeport-McMoRan Inc.,0,1,-0.0395,0.0001,0
90,858877,"Cisco Systems, Inc.",0,2,-0.0401,0.0003,0
90,860731,"Tyler Technologies, Inc.",0,1,-0.0387,0.0,0
90,872589,"Regeneron Pharmaceuticals, Inc.",0,1,-0.0388,0.0,0
90,877890,Citrix Systems Inc.,0,3,-0.0375,0.0003,0
90,892553,"Chart Industries, Inc.",0,1,-0.0382,0.0,0
90,896878,"Intuit, Inc.",0,78,-0.0403,0.0004,0
90,908937,Sirius XM Radio Inc.,0,15,-0.0552,0.0423,0
90,920522,"Essex Property Trust, Inc.",0,1,-0.0384,0.0,0
90,920760,Lennar Corporation,0,1,-0.0392,0.0,0
90,943452,Wabtec Corporation,0,1,-0.0392,0.0,0
90,1000228,"Henry Schein, Inc.",0,1,-0.0381,0.0001,0
90,1001082,"DISH Network, LLC",1,2,-0.0492,0.017,0
90,1001250,The Est̩e Lauder Companies Inc.,0,3,-0.0421,0.0017,0
90,1002517,"Nuance Communications, Inc.",0,1,-0.0383,0.0,0
90,1041061,"Yum! Brands, Inc.",0,1,-0.0309,0.0095,0
90,1048911,"FedEx Ground Package System, Inc.",0,1,-0.0394,0.0001,0
90,1051470,Crown Castle,0,2,-0.0402,0.0003,0
90,1058290,Cognizant Technology Solutions Corporation,0,1,-0.0391,0.0,0
90,1060391,Republic Services,0,5,-0.0331,0.005,0
90,1067837,Entercom Communications Corp.,0,1,-0.0391,0.0,0
90,1091667,"Charter Communications, Inc.",1,8,-0.0379,0.0001,0
90,1105705,Time Warner Inc.,0,8,-0.045,0.0061,0
90,1108524,Salesforce.com,0,1,-0.0422,0.0018,0
90,1113169,"T. Rowe Price Retirement Plan Services, Inc.",0,2,-0.0381,0.0001,0
90,1123360,"Global Payments, Inc.",0,2,-0.0414,0.0011,0
90,1124610,"VMware, Inc.",0,2,-0.0396,0.0001,0
90,1133421,Northrop Grumman Systems Corporation,0,1,-0.0396,0.0001,0
90,1136893,"Fidelity National Information Services, Inc.",0,12,0.023,0.5932,1
90,1137789,Seagate US LLC,0,3,-0.0359,0.0013,0
90,1140859,"Cencora, Inc.",0,3,-0.0415,0.0012,0
90,1166691,Comcast,1,12,-0.0327,0.0056,0
90,1180262,"Herbalife International of America, Inc.",0,1,-0.0403,0.0004,0
90,1283699,"T-Mobile USA, Inc.",1,26,-0.067,0.124,0
