window,full_coef,loco_min,loco_max,sign_flips,of_G,largest_move_cik,largest_move_coef,without_TMobile,without_Sprint
30,0.0031,-0.018,0.0188,4,119,1283699,-0.018,-0.018,-0.0035
90,-0.0252,-0.0529,0.0363,1,119,1136893,0.0363,-0.0529,-0.0258
180,0.0383,-0.0191,0.0789,1,119,1283699,-0.0191,-0.0191,0.0328
