deleted_parent_cik,coef_without,cluster_size,partial_leverage_share,window
732712,-0.0303,11,0.0314,90
732717,-0.0029,26,0.0709,90
764180,-0.026,1,0.0037,90
771497,-0.0252,1,0.0,90
773840,-0.0254,3,0.0073,90
789019,-0.0322,5,0.0264,90
789570,-0.0281,2,0.006,90
790070,-0.0257,1,0.0014,90
796343,-0.0257,3,0.0003,90
798354,-0.0201,3,0.0074,90
815097,-0.0259,2,0.0049,90
823768,-0.0253,1,0.0001,90
831259,-0.0257,1,0.0019,90
858877,-0.0263,2,0.0048,90
860731,-0.0249,1,0.0011,90
872589,-0.0249,1,0.0013,90
877890,-0.024,3,0.001,90
892553,-0.0243,1,0.0015,90
896878,-0.0255,78,0.0053,90
908937,-0.0412,15,0.0186,90
920522,-0.0246,1,0.0,90
920760,-0.0254,1,0.0007,90
943452,-0.0254,1,0.0005,90
1000228,-0.0243,1,0.001,90
1001082,-0.0475,2,0.0166,90
1001250,-0.0285,3,0.0033,90
1002517,-0.0245,1,0.0009,90
1041061,-0.0172,1,0.004,90
1048911,-0.0256,1,0.0007,90
1051470,-0.0265,2,0.0028,90
1058290,-0.0254,1,0.0,90
1060391,-0.0193,5,0.0058,90
1067837,-0.0253,1,0.0,90
1091667,-0.0234,8,0.0375,90
1105705,-0.0311,8,0.0232,90
1108524,-0.0284,1,0.0007,90
1113169,-0.0242,2,0.0019,90
1123360,-0.0274,2,0.0008,90
1124610,-0.0259,2,0.0006,90
1133421,-0.0258,1,0.0016,90
1136893,0.0363,12,0.0551,90
1137789,-0.0221,3,0.001,90
1140859,-0.0276,3,0.0081,90
1166691,-0.0178,12,0.0486,90
1180262,-0.0265,1,0.001,90
1283699,-0.0529,26,0.1118,90
1326160,-0.0188,3,0.0163,90
1326801,-0.0225,3,0.0012,90
1336920,-0.0249,1,0.0002,90
1341439,-0.0261,1,0.0019,90
1373715,-0.0222,1,0.0006,90
1387467,-0.0249,1,0.0013,90
1397911,-0.0254,1,0.0002,90
1400891,-0.0253,1,0.0,90
1428439,-0.0252,3,0.0001,90
1447669,-0.019,2,0.0364,90
1472787,-0.025,1,0.0001,90
1501585,-0.025,1,0.0002,90
1510295,-0.0203,1,0.0019,90
1512673,-0.0258,1,0.001,90
1535527,-0.0253,2,0.0004,90
1543151,-0.0258,3,0.0105,90
1553023,-0.026,1,0.0,90
1564408,-0.0245,1,0.0009,90
1590895,-0.0261,1,0.0035,90
1609711,-0.0184,3,0.0349,90
1632127,-0.0219,2,0.0413,90
1640147,-0.0253,2,0.0001,90
1645590,-0.0262,1,0.0031,90
1647088,-0.0244,1,0.001,90
1652044,-0.0267,5,0.0078,90
1660134,-0.0254,3,0.0009,90
1669779,-0.0233,1,0.0003,90
1702780,-0.0217,2,0.0118,90
1744489,-0.0257,1,0.0018,90
1770450,-0.0261,1,0.001,90
1889539,-0.0123,1,0.0115,90
1971213,-0.0286,3,0.0084,90
2041610,-0.0272,2,0.0048,90
4904,0.0341,2,0.0074,180
8670,0.0367,1,0.0024,180
12927,0.0356,1,0.0061,180
14693,0.0385,1,0.0,180
18926,0.0353,5,0.0324,180
20520,0.0353,4,0.0417,180
27904,0.0345,2,0.0058,180
27996,0.0387,1,0.0002,180
33185,0.0357,4,0.0003,180
40704,0.0372,1,0.0017,180
43196,0.0381,3,0.0002,180
47111,0.039,1,0.0005,180
47217,0.0364,5,0.0191,180
51143,0.0334,2,0.0091,180
51434,0.0383,1,0.0,180
62709,0.0375,1,0.0007,180
68505,0.0345,2,0.0057,180
73309,0.0377,1,0.0004,180
73756,0.0385,1,0.0,180
75362,0.0371,1,0.0011,180
76334,0.0372,1,0.0001,180
77476,0.0359,1,0.0052,180
78003,0.0436,1,0.0029,180
91419,0.0382,1,0.0,180
91440,0.0396,1,0.0021,180
92380,0.0361,2,0.0019,180
96021,0.0434,1,0.0023,180
101830,0.0328,12,0.0591,180
277135,0.038,2,0.0001,180
315293,0.0416,3,0.0066,180
318154,0.0333,2,0.0084,180
319687,0.0369,1,0.0051,180
320193,0.0268,7,0.0308,180
354190,0.0369,2,0.0011,180
354950,0.0426,1,0.0018,180
708818,0.0395,1,0.0026,180
718877,0.0379,2,0.0002,180
723254,0.0389,1,0.0,180
728535,0.0381,2,0.0,180
731766,0.035,1,0.0064,180
732712,0.0231,11,0.0314,180
732717,0.0702,26,0.0709,180
764180,0.0361,1,0.0037,180
771497,0.0382,1,0.0,180
773840,0.0369,3,0.0073,180
789019,0.0357,5,0.0264,180
789570,0.0408,2,0.006,180
790070,0.0369,1,0.0014,180
796343,0.0376,3,0.0003,180
798354,0.0405,3,0.0074,180
815097,0.0443,2,0.0049,180
823768,0.0381,1,0.0001,180
831259,0.043,1,0.0019,180
858877,0.0347,2,0.0048,180
860731,0.0391,1,0.0011,180
872589,0.0391,1,0.0013,180
877890,0.0435,3,0.001,180
892553,0.0394,1,0.0015,180
896878,0.0367,78,0.0053,180
908937,0.0172,15,0.0186,180
920522,0.0389,1,0.0,180
920760,0.0375,1,0.0007,180
943452,0.0377,1,0.0005,180
1000228,0.0392,1,0.001,180
1001082,0.0214,2,0.0166,180
1001250,0.0342,3,0.0033,180
1002517,0.0348,1,0.0009,180
1041061,0.0484,1,0.004,180
1048911,0.0375,1,0.0007,180
1051470,0.0357,2,0.0028,180
1058290,0.0381,1,0.0,180
1060391,0.0419,5,0.0058,180
1067837,0.0381,1,0.0,180
1091667,0.0546,8,0.0375,180
1105705,0.0217,8,0.0232,180
1108524,0.0352,1,0.0007,180
1113169,0.0397,2,0.0019,180
1123360,0.0366,2,0.0008,180
1124610,0.0419,2,0.0006,180
1133421,0.0426,1,0.0016,180
1136893,0.0715,12,0.0551,180
1137789,0.0408,3,0.001,180
1140859,0.0331,3,0.0081,180
1166691,0.0789,12,0.0486,180
1180262,0.0373,1,0.001,180
1283699,-0.0191,26,0.1118,180
1326160,0.0409,3,0.0163,180
1326801,0.0444,3,0.0012,180
1336920,0.0387,1,0.0002,180
1341439,0.0366,1,0.0019,180
1373715,0.0409,1,0.0006,180
1387467,0.0388,1,0.0013,180
1397911,0.0379,1,0.0002,180
1400891,0.0381,1,0.0,180
1428439,0.0382,3,0.0001,180
1447669,0.0507,2,0.0364,180
1472787,0.0385,1,0.0001,180
1501585,0.0386,1,0.0002,180
1510295,0.0428,1,0.0019,180
1512673,0.037,1,0.001,180
1535527,0.0378,2,0.0004,180
1543151,0.0519,3,0.0105,180
1553023,0.0375,1,0.0,180
1564408,0.0394,1,0.0009,180
1590895,0.0364,1,0.0035,180
1609711,0.0331,3,0.0349,180
1632127,0.0449,2,0.0413,180
1640147,0.0379,2,0.0001,180
1645590,0.0366,1,0.0031,180
1647088,0.0389,1,0.001,180
1652044,0.0444,5,0.0078,180
1660134,0.0379,3,0.0009,180
1669779,0.0401,1,0.0003,180
1702780,0.0445,2,0.0118,180
1744489,0.0368,1,0.0018,180
1770450,0.0374,1,0.001,180
1889539,0.0489,1,0.0115,180
1971213,0.0325,3,0.0084,180
2041610,0.0341,2,0.0048,180
