window,ame,se_cluster,p,ci_lo,ci_hi
30,0.0041,0.0304,0.8928,-0.0555,0.0637
90,-0.0281,0.0525,0.5928,-0.1309,0.0748
180,0.0347,0.0784,0.658,-0.1189,0.1882
