final_cik,breach_date,treated,outcome_cik,accession,filing_date,win_lo,win_hi
20520,2022-02-24,1,20520,0001140361-22-023997,2022-06-24,2020-02-25,2022-10-31
20520,2022-02-24,1,20520,0000020520-21-000008,2021-07-30,2020-02-25,2022-10-31
20520,2022-02-24,1,20520,0001193125-21-205666,2021-07-01,2020-02-25,2022-10-31
20520,2022-02-24,1,20520,0001193125-21-179930,2021-06-02,2020-02-25,2022-10-31
20520,2022-02-24,1,20520,0001140361-21-015200,2021-04-30,2020-02-25,2022-10-31
20520,2022-02-24,1,20520,0001140361-21-005386,2021-02-18,2020-02-25,2022-10-31
20520,2022-02-24,1,20520,0001140361-20-028400,2020-12-15,2020-02-25,2022-10-31
20520,2022-02-24,1,20520,0001140361-20-020249,2020-09-11,2020-02-25,2022-10-31
20520,2022-02-24,1,20520,0001193125-20-050127,2020-02-26,2020-02-25,2022-10-31
20520,2023-12-18,1,20520,0001140361-24-026861,2024-05-20,2021-12-18,2024-12-09
20520,2023-12-18,1,20520,0000950157-24-000104,2024-02-05,2021-12-18,2024-12-09
20520,2023-12-18,1,20520,0001140361-22-023997,2022-06-24,2021-12-18,2024-12-09
20520,2024-04-13,1,20520,0001140361-24-026861,2024-05-20,2022-04-14,2024-12-03
20520,2024-04-13,1,20520,0000950157-24-000104,2024-02-05,2022-04-14,2024-12-03
20520,2024-04-13,1,20520,0001140361-22-023997,2022-06-24,2022-04-14,2024-12-03
20520,2024-06-10,1,20520,0001140361-24-026861,2024-05-20,2022-06-11,2024-12-07
20520,2024-06-10,1,20520,0000950157-24-000104,2024-02-05,2022-06-11,2024-12-07
20520,2024-06-10,1,20520,0001140361-22-023997,2022-06-24,2022-06-11,2024-12-07
27904,2017-09-01,0,27904,0001683168-18-001046,2018-04-20,2015-09-02,2018-10-10
27904,2017-09-01,0,27904,0001683168-17-002723,2017-10-23,2015-09-02,2018-10-10
27904,2017-09-01,0,27904,0001683168-17-000876,2017-04-11,2015-09-02,2018-10-10
27904,2017-09-01,0,27904,0001683168-17-000167,2017-01-26,2015-09-02,2018-10-10
27904,2017-09-01,0,27904,0001683168-16-000288,2016-10-11,2015-09-02,2018-10-10
27904,2017-09-01,0,27904,0001019687-16-006642,2016-06-10,2015-09-02,2018-10-10
27904,2017-09-01,0,27904,0001019687-16-005064,2016-02-05,2015-09-02,2018-10-10
27904,2017-09-26,0,27904,0001683168-18-001046,2018-04-20,2015-09-27,2018-10-10
27904,2017-09-26,0,27904,0001683168-17-002723,2017-10-23,2015-09-27,2018-10-10
27904,2017-09-26,0,27904,0001683168-17-000876,2017-04-11,2015-09-27,2018-10-10
27904,2017-09-26,0,27904,0001683168-17-000167,2017-01-26,2015-09-27,2018-10-10
