Model,Sample_Size,Features,Train_R2,Test_R2,Test_RMSE,Test_MAE,CV_R2_Mean,CV_R2_Std
CAR 30-day,282,27,0.513219791179409,-0.03036482379556671,8.79932023786062,6.641485826309867,-0.12154630894200509,0.19744844995455826
Volatility Change,281,28,,0.0895112108891769,12.789617399489584,9.00108254379236,,
