feature,importance,importance_pct
return_volatility_pre,0.5626160787702973,56.26160787702973
leverage,0.1399266989279531,13.992669892795309
days_since_last_breach,0.08774322129337767,8.774322129337767
firm_size_log,0.03772369692197626,3.772369692197626
roa,0.02921572514084386,2.921572514084386
prior_breaches_total,0.027710139529119847,2.771013952911985
prior_breaches_3yr,0.023685903410778225,2.3685903410778226
total_affected,0.020960560139221093,2.096056013922109
executive_change_30d,0.015474161135081781,1.547416113508178
media_coverage_count,0.013846632657494161,1.384663265749416
prior_breaches_1yr,0.012983032151765132,1.2983032151765133
delayed_disclosure,0.008913696913313588,0.8913696913313588
severity_score,0.008019336812133016,0.8019336812133016
immediate_disclosure,0.0033767121324603305,0.33767121324603305
executive_change_180d,0.0031677124641281192,0.3167712464128119
financial_breach,0.0015308631678139365,0.15308631678139364
has_media_coverage,0.0014735828339291954,0.14735828339291954
executive_change_90d,0.0007803304779315656,0.07803304779315656
major_outlet_flag,0.00036876085027192284,0.036876085027192286
pii_breach,0.00021711604204130525,0.021711604204130524
high_media_coverage,0.00015932500618044725,0.015932500618044725
major_outlet_coverage,0.00010671322188818084,0.010671322188818083
health_breach,0.0,0.0
is_repeat_offender,0.0,0.0
has_enforcement,0.0,0.0
enforcement_within_365d,0.0,0.0
enforcement_within_1yr,0.0,0.0
enforcement_within_2yr,0.0,0.0
