feature,importance,importance_pct
days_since_last_breach,0.2831504007054221,28.315040070542207
firm_size_log,0.2663595012731959,26.635950127319592
leverage,0.11035734577074169,11.03573457707417
roa,0.09065503573306319,9.06550357330632
total_affected,0.05577337621876156,5.577337621876156
prior_breaches_total,0.05343565493901829,5.3435654939018296
prior_breaches_3yr,0.04973388317942948,4.9733883179429474
severity_score,0.018277552114481677,1.8277552114481677
prior_breaches_1yr,0.0178083662646873,1.7808366264687299
executive_change_30d,0.010124327033168463,1.0124327033168463
delayed_disclosure,0.009860921589858325,0.9860921589858326
media_coverage_count,0.008607102052746235,0.8607102052746235
immediate_disclosure,0.006859535689192684,0.6859535689192684
executive_change_180d,0.005952629244963689,0.595262924496369
executive_change_90d,0.003962214369557595,0.3962214369557595
financial_breach,0.0038774824578695554,0.38774824578695555
has_media_coverage,0.0024301431445198723,0.24301431445198723
has_enforcement,0.001085848038948779,0.1085848038948779
major_outlet_flag,0.000708541844261054,0.0708541844261054
high_media_coverage,0.0005391803345434506,0.05391803345434506
enforcement_within_365d,0.00044095800156915136,0.04409580015691514
is_repeat_offender,0.0,0.0
health_breach,0.0,0.0
major_outlet_coverage,0.0,0.0
pii_breach,0.0,0.0
enforcement_within_1yr,0.0,0.0
enforcement_within_2yr,0.0,0.0
