Method,N,firm_size_log_coef,firm_size_log_se,firm_size_log_t,firm_size_log_p,leverage_coef,leverage_se,leverage_t,leverage_p,roa_coef,roa_se,roa_t,roa_p,prior_breaches_total_coef,prior_breaches_total_se,prior_breaches_total_t,prior_breaches_total_p,health_breach_coef,health_breach_se,health_breach_t,health_breach_p,immediate_disclosure_coef,immediate_disclosure_se,immediate_disclosure_t,immediate_disclosure_p
1. Homoskedastic,653,0.08499145136301252,0.282284766801832,0.30108408727091446,0.763447257618188,1.9376527292367711,1.4595461875744833,1.3275720533769606,0.18478845979356545,22.663411179296077,9.782329440528988,2.316770388594737,0.0208281246606786,0.0605517920052478,0.05258780815273125,1.1514416388944502,0.24997657023457376,-0.2216400992645855,1.479727363269976,-0.14978441621488575,0.8809814559006524,0.32854286243037933,0.8563732029183058,0.3836444920401379,0.7013681863783161
2. Robust (HC1),653,0.08499145136301252,0.2769425181938767,0.30689202913766134,0.7589255563421977,1.9376527292367711,1.363310707617759,1.4212847580597485,0.15523399275136562,22.663411179296077,8.265651348420882,2.7418784344957676,0.00610889457173434,0.0605517920052478,0.04211380865185544,1.4378132480444754,0.1504870493898556,-0.2216400992645855,1.5862052802714388,-0.13972977017618893,0.8888735039490483,0.32854286243037933,0.8544877795251005,0.38449100186426766,0.7006145638166161
3. Robust (HC3) [Main],653,0.08499145136301252,0.2789931083489952,0.30463638283385797,0.7606431067968162,1.9376527292367711,1.3810137670743408,1.4030654693194424,0.16059731698737623,22.663411179296077,8.698377078217325,2.6054758233062016,0.009174674825588706,0.0605517920052478,0.0429289020576629,1.4105134094488023,0.158388139765671,-0.2216400992645855,1.6300997514425455,-0.1359672002087275,0.8918472105609465,0.32854286243037933,0.8607625062116215,0.3816881660846946,0.7026926788242124
4. Firm-Clustered,653,0.08499145136301252,0.3627678046940224,0.2342860922696787,0.8147628822588766,1.9376527292367711,1.1095858925446027,1.7462845754042264,0.08076151477343159,22.663411179296077,10.990303965804197,2.062127785529153,0.039195571640703204,0.0605517920052478,0.03658010799829855,1.6553202086791063,0.09785956178402642,-0.2216400992645855,1.6358995078112037,-0.13548515554059606,0.892228300200701,0.32854286243037933,0.9306558150162979,0.35302295126649563,0.7240712342762012
5. Year-Clustered,653,0.08499145136301252,0.37640963746986505,0.22579509901580785,0.8213607890705259,1.9376527292367711,1.2028956563881255,1.6108236146224553,0.10721817255236074,22.663411179296077,10.727102115593953,2.1127244744272873,0.0346243572393299,0.0605517920052478,0.05021382559996346,1.2058788845853614,0.2278641933931701,-0.2216400992645855,1.3930843844786738,-0.15910026824938436,0.8735898768797956,0.32854286243037933,1.3062824853937596,0.25150981208428663,0.801419977014822
6. Newey-West (HAC),653,0.08499145136301252,0.30247749631948145,0.28098437866347326,0.7787223813826526,1.9376527292367711,1.3614211736617696,1.4232573774544217,0.1546615579192332,22.663411179296077,8.552068850530755,2.6500501311901328,0.008047982814948486,0.0605517920052478,0.04528712571243712,1.3370641446696754,0.1812016997456769,-0.2216400992645855,1.6068159613216055,-0.13793745183006934,0.8902898510281442,0.32854286243037933,0.880938075024219,0.3729466028827815,0.7091881860514717
