Sample,N,R_squared,Adj_R_squared,immediate_disclosure_coef,immediate_disclosure_se,immediate_disclosure_t,immediate_disclosure_p,immediate_disclosure_sig,prior_breaches_total_coef,prior_breaches_total_se,prior_breaches_total_t,prior_breaches_total_p,prior_breaches_total_sig,health_breach_coef,health_breach_se,health_breach_t,health_breach_p,health_breach_sig
1. Full Sample,653,0.020823266127427797,0.008659579992364774,0.5138485409011772,0.8618185230172193,0.5962375223755899,0.5510165622536276,,0.05964922717649522,0.04278732282275627,1.3940864546162026,0.16329149904117068,,-0.5522906676173246,1.764363410568814,-0.31302545966948575,0.7542613194365633,
2. Exclude Crisis (2008-09),640,0.02321695030203108,0.01083301306338802,0.1219557058665896,0.8519145496877862,0.14315485738714584,0.8861678811149045,,0.07542198264385419,0.043654028745200586,1.727721010220534,0.08403825487865285,*,-0.37602163460213023,1.7722681052827929,-0.21216972391551905,0.8319746258354747,
3. Exclude COVID (2020-21),553,0.032649384975337536,0.018423640636739624,0.935119232353917,0.8966779658365354,1.0428707607212349,0.2970081532746326,,0.07145657314110422,0.04527376738743824,1.5783217802398022,0.1144917047224576,,-0.46404633560093367,1.8958463195484443,-0.244770016860576,0.8066345109001222,
4. Exclude Crisis & COVID,540,0.03663033089893397,0.02211628692001022,0.5165797879580999,0.8883067621483055,0.5815331031689877,0.5608812144403912,,0.0885121477784328,0.04641431360389837,1.9070011146518089,0.05652044315114549,*,-0.2463252705544937,1.9038096211528295,-0.12938545315541286,0.8970526576270548,
5. Exclude Smallest Quartile,488,0.028871545667134235,0.012652281294142642,0.07438453396546532,0.8179859825883717,0.09093619640044276,0.9275432887632846,,0.026504874554460895,0.0432108810957799,0.6133842653129663,0.5396222875665119,,-1.6141520132940013,2.005023821587333,-0.8050537833590989,0.4207886440730604,
6. Exclude Largest Decile,588,0.022666030472044296,0.009162279597737522,0.25907107379283645,0.9153797619836661,0.2830203206933684,0.7771612599165634,,0.07151022774633774,0.0447584289279416,1.5976929811693108,0.11011132158849839,,-1.157198586790515,1.9584694276363708,-0.5908688542496728,0.554608296031307,
7. Post-2015 Only,554,0.029856567079676544,0.015615929532222239,-0.062232126109220076,0.8960850999228824,-0.0694489018002596,0.9446323048449251,,0.09122644135773826,0.04575990872702874,1.9935887962961358,0.04619701074728992,**,-0.7847816993111292,1.8769887873294557,-0.41810675940568715,0.6758690631321582,
8. Winsorized Returns (1%),653,0.02297765467499746,0.010840731130587478,0.38543581196965504,0.8315729959077603,0.4635020784301759,0.6430045254012786,,0.061035690850663835,0.042385258114788035,1.4400216859684227,0.14986126377177308,,-0.49395620619564445,1.7475746671588774,-0.28265241850792827,0.7774432938904864,
