Window,Variable,N,R_squared,Adj_R_squared,firm_size_log_coef,firm_size_log_se,firm_size_log_t,firm_size_log_p,firm_size_log_sig,leverage_coef,leverage_se,leverage_t,leverage_p,leverage_sig,roa_coef,roa_se,roa_t,roa_p,roa_sig,prior_breaches_total_coef,prior_breaches_total_se,prior_breaches_total_t,prior_breaches_total_p,prior_breaches_total_sig,health_breach_coef,health_breach_se,health_breach_t,health_breach_p,health_breach_sig,severity_score_coef,severity_score_se,severity_score_t,severity_score_p,severity_score_sig,media_coverage_count_coef,media_coverage_count_se,media_coverage_count_t,media_coverage_count_p,media_coverage_count_sig,immediate_disclosure_coef,immediate_disclosure_se,immediate_disclosure_t,immediate_disclosure_p,immediate_disclosure_sig
5-Day CAR,car_5d,648,0.029462422115212217,0.01731171691477673,-0.1889188246075663,0.14178928882549807,-1.3323913687166535,0.18273161689577566,,-0.1293506805358307,0.7199605673227284,-0.17966356270988404,0.857416700647828,,11.064818245466139,3.680469261786743,3.0063607269727735,0.0026439513996891705,***,0.0132244407999195,0.021889891463934854,0.6041345989178476,0.5457541582131891,,-0.8456405455563433,1.111718354116569,-0.7606607756587186,0.44685970884193693,,0.038825015553634296,0.09858668868094435,0.3938160016641143,0.6937168895429499,,-0.015521504689806348,0.011691076116146485,-1.3276369545117988,0.18429807021150713,,-0.13744288612447503,0.4071503155875282,-0.3375728345590043,0.735685116510827,
30-Day CAR,car_30d,648,0.021912207485227042,0.00966697690601237,0.17323872097226847,0.2844863116266224,0.6089527470820381,0.5425557601530692,,1.9686542626079795,1.3757376933175571,1.4309808273556994,0.15243571006667306,,22.417680452276166,8.783159661617788,2.5523480519477437,0.010699957005333315,**,0.07234151825056878,0.04358696676471123,1.6597052655918636,0.09697375956718773,*,-0.5937969121896581,1.7684840655767866,-0.3357660516980642,0.7370472922214493,,0.0597359935719182,0.16682927544890547,0.3580666127763256,0.7202934639161669,,-0.022936462792936235,0.00874519934474265,-2.6227489950500606,0.0087223506463168,***,0.5229642245870947,0.8688355837987609,0.601913911376152,0.5472314436537404,
5-Day BHAR,bhar_5d,648,0.02862962702838978,0.016468495598385258,-0.17934121755428567,0.1415162607321146,-1.267283467118824,0.20505394994231507,,-0.13589448982954572,0.7243040399071528,-0.18762078124949544,0.8511739344596654,,11.81550894781752,3.59286365841544,3.2886048765425495,0.0010068526448511726,***,0.011328111104384836,0.021667852000431295,0.5228072955343867,0.6011083621642908,,-0.719741842009675,1.0982950639285143,-0.6553264834271544,0.5122575731995723,,0.035461469460226845,0.09498621322020824,0.37333280544636394,0.7089007633296243,,-0.014854649836625494,0.010769035284357088,-1.3793853808059389,0.16777596423858254,,-0.12268513957806662,0.40836048098661376,-0.30043342901755543,0.7638465680335242,
30-Day BHAR,bhar_30d,648,0.023202943272862542,0.01097387214012846,0.20283740813914639,0.27928480719298565,0.726274408471442,0.4676705646579823,,2.0701594010849607,1.394891835226598,1.4841003071386296,0.13778231176188088,,23.664508353163377,8.182619705414833,2.8920454823903685,0.0038274253436594652,***,0.07243146077016245,0.044829862688223726,1.6156966902597572,0.1061599069342066,,-0.5466635077823516,1.7781913608767734,-0.30742670322771565,0.7585186054247355,,0.022649290166840932,0.16664569324158518,0.1359128443481969,0.8918901813791814,,-0.02207185710656898,0.008482725495519072,-2.6019770553966706,0.009268805321069464,***,0.40017284558351984,0.8658548787404977,0.462170804148641,0.6439588383656799,
