Threshold,N,N Immediate,% Immediate,Coefficient,Std. Error,T-statistic,P-value,Sig.,R²
≤3 days,653,143,21.9%,0.5827,(0.8805),0.66,0.5081,,0.0148
≤5 days,653,145,22.2%,0.4897,(0.8743),0.56,0.5754,,0.0146
≤7 days,653,148,22.7%,0.3809,(0.8627),0.44,0.6588,,0.0144
≤14 days,653,165,25.3%,0.4246,(0.8094),0.52,0.5999,,0.0145
≤30 days,653,245,37.5%,0.5034,(0.7263),0.69,0.4883,,0.0148
≤60 days,653,341,52.2%,0.7599,(0.7566),1.00,0.3152,,0.0158
≤90 days,653,408,62.5%,-0.4449,(0.7262),-0.61,0.5401,,0.0147
