permno,ticker,comnam,siccd,exchcd,shrcd,namedt,nameendt
10000,OMFGA,OPTIMUM MANUFACTURING INC,3990,3,10,1986-01-07,1987-06-11
10001,GFGC,GREAT FALLS GAS CO,4920,3,11,1986-01-09,1993-11-21
10001,EWST,ENERGY WEST INC,4920,3,11,1993-11-22,2008-02-04
10001,EWST,ENERGY WEST INC,4920,3,11,2008-02-05,2009-08-03
10001,EGAS,ENERGY INC,4920,3,11,2009-08-04,2009-12-17
10001,EGAS,ENERGY INC,4925,2,11,2009-12-18,2010-07-08
10001,EGAS,GAS NATURAL INC,4925,2,11,2010-07-09,2017-08-03
10002,MBNC,MOBILE NATIONAL CORP,6710,3,10,1986-01-10,1993-09-29
10002,SABC,SOUTH ALABAMA BANCORPORATION INC,6710,3,11,1993-09-30,1999-06-30
10002,SABC,SOUTH ALABAMA BANCORPORATION INC,6020,3,11,1999-07-01,2002-05-14
10002,BTFG,BANCTRUST FINANCIAL GROUP INC,6020,3,11,2002-05-15,2013-02-15
10003,GCBK,GREAT COUNTRY BK ASONIA CT,6030,3,11,1986-01-14,1987-03-31
10003,GCBK,GREAT COUNTRY BK ASONIA CT,6020,3,11,1987-04-01,1995-12-15
10004,CLSO,CLOSE OUTS PLUS INC,5330,3,10,1986-01-15,1986-01-17
10005,WERC,WESTERN ENERGY RESOURCES INC,1310,3,10,1986-01-15,1991-07-11
10006,,AMERICAN CAR & FDRY CO,3740,1,10,1925-12-31,1954-05-31
10006,,A C F INDUSTRIES INC,3740,1,10,1954-06-01,1962-07-01
10006,ACF,A C F INDUSTRIES INC,3743,1,10,1962-07-02,1968-01-01
10006,ACF,A C F INDUSTRIES INC,3743,1,10,1968-01-02,1984-06-28
10007,SDIC,SHAREDATA INC,7370,3,10,1986-01-16,1987-06-02
10007,SDICV,SHAREDATA INC,7370,3,10,1987-06-03,1987-07-12
10007,SDIC,SHAREDATA INC,7370,3,10,1987-07-13,1987-12-21
10007,,SHAREDATA INC,7370,0,10,1987-12-22,1989-02-21
10007,SHRD,SHAREDATA INC,7370,3,10,1989-02-22,1990-10-16
10008,GACO,GARDENAMERICA CORP,3430,3,10,1986-01-16,1988-11-21
10009,CAYB,CAYUGA SAVINGS BANK NY,6020,3,11,1986-01-17,1986-07-31
10009,CAYB,CAYUGA SAVINGS BANK NY,6030,3,11,1986-08-01,1987-03-31
10009,CAYB,CAYUGA SAVINGS BANK NY,6020,3,11,1987-04-01,1990-03-01
10009,IROQ,IROQUOIS BANCORP INC,6020,3,11,1990-03-02,1999-06-30
10009,IROQ,IROQUOIS BANCORP INC,6030,3,11,1999-07-01,2000-11-03
10010,CBOT,CABOT MEDICAL CORP,3840,3,11,1986-01-17,1995-08-28
10011,ATCE,A T C ENVIRONMENTAL INC,4950,3,10,1988-06-08,1995-04-02
10011,ATCE,A T C ENVIRONMENTAL INC,7390,3,10,1995-04-03,1996-10-17
10011,ATCS,A T C GROUP SERVICES INC,7390,3,11,1996-10-18,1998-02-06
10012,DPAC,DENSE PACIFIC MICROSYSTEMS INC,3670,3,11,1986-01-22,1987-08-03
10012,,DENSE PACIFIC MICROSYSTEMS INC,3670,0,11,1987-08-04,1987-10-22
10012,DPAC,DENSE PACIFIC MICROSYSTEMS INC,3670,3,11,1987-10-23,1988-07-12
10012,DPAC,DENSE PACIFIC MICROSYSTEMS INC,3670,3,11,1988-07-13,2001-08-20
10012,DPAC,D P A C TECHNOLOGIES CORP,3670,3,11,2001-08-21,2005-07-31
10012,DPAC,D P A C TECHNOLOGIES CORP,3674,3,11,2005-08-01,2005-08-02
10013,AAPI,ARIZONA APPETITOS STORES INC,5810,3,10,1986-01-22,1987-06-16
10014,,ALASKA JUNEAU GOLD MNG CO,1000,1,10,1926-01-04,1957-01-01
10014,,ALASKA JUNEAU GOLD MNG CO,3710,1,10,1957-01-02,1959-06-25
10014,,A J INDUSTRIES INC,3710,1,10,1959-06-26,1962-07-01
10014,AJ,A J INDUSTRIES INC,3714,1,10,1962-07-02,1968-01-01
10014,AJ,A J INDUSTRIES INC,3714,1,10,1968-01-02,1977-04-07
10015,AMFD,A & M FOOD SERVICES INC,5812,3,10,1983-09-20,1986-07-08
10016,FIGIA,FIGGIE INTERNATIONAL HLDGS INC,3560,3,11,1986-01-24,1986-12-28
10016,FIGIA,FIGGIE INTERNATIONAL INC DEL,3560,3,11,1986-12-29,1998-05-25
10016,SCTTA,SCOTT TECHNOLOGIES INC,3560,3,11,1998-05-26,1998-12-15
10016,SCTT,SCOTT TECHNOLOGIES INC,3560,3,11,1998-12-16,2001-02-28
10016,SCTT,SCOTT TECHNOLOGIES INC,3812,3,11,2001-03-01,2001-05-03
10017,CCUR,CONCURRENT COMPUTER CORP,3570,3,10,1986-01-24,1988-09-27
10018,DCIS,DELTA COMPUTEC INC,7370,3,10,1986-01-24,1995-11-10
10019,IFRS,I F R SYSTEMS INC,3610,3,11,1986-01-24,2002-06-18
10020,KEYC,KEY CENTURION BANCSHARES,6710,3,11,1986-01-27,1993-04-30
10021,BIRI,BRAINERD INTERNATIONAL INC,7940,3,10,1986-01-27,1992-10-12
10021,BIRI,BRAINERD INTERNATIONAL INC,7940,3,11,1992-10-13,1995-12-29
10022,,AMERICAN SAFETY RAZOR CORP,3420,1,10,1925-12-31,1957-06-30
10022,,A S R PRODS CORP,3420,1,10,1957-07-01,1960-05-03
10023,,A A I CORP,8911,3,10,1972-12-14,1973-06-05
10024,DOCX,DOCUGRAPHIX INC,3570,3,10,1986-01-29,1992-05-11
10025,AEPI,A E P INDUSTRIES INC,3070,3,11,1986-01-30,2009-01-29
10025,AEPI,A E P INDUSTRIES INC,3081,3,11,2009-01-30,2017-01-20
10026,JJSF,J & J SNACK FOODS CORP,2050,3,11,1986-02-04,2000-07-31
10026,JJSF,J & J SNACK FOODS CORP,2052,3,11,2000-08-01,2024-12-31
10027,TNII,TELECOMMUNICATIONS NETWORK INC,7390,3,11,1986-02-04,1989-07-02
10027,TNII,TELECOMMUNICATIONS NETWORK INC,7380,3,11,1989-07-03,1990-03-28
10028,MINT,CANYON STATE CORP,1380,3,11,1986-02-05,1986-06-24
10028,MINT,AMERICAN PACIFIC MINT INC,1380,3,11,1986-06-25,1988-01-31
10028,MINT,AMERICAN PACIFIC MINT INC,3340,3,11,1988-02-01,1988-08-24
10028,MINT,AMERICAN PACIFIC MINT INC,3340,3,11,1988-08-25,1992-03-17
10028,DLS,AMERICAN PACIFIC MINT INC,5094,2,11,1992-03-18,1992-07-23
10028,DLS,DALLAS GOLD & SILVER EXCHANGE IN,5094,2,11,1992-07-24,1998-05-31
10028,DLS,DALLAS GOLD & SILVER EXCHANGE IN,5944,2,11,1998-06-01,1999-06-29
10028,DGSE,DALLAS GOLD & SILVER EXCHANGE IN,5944,3,11,1999-06-30,2001-07-04
10028,DGSE,D G S E COMPANIES INC,5944,3,11,2001-07-05,2007-10-30
10028,DGC,D G S E COMPANIES INC,5094,2,11,2007-10-31,2009-08-16
10028,DGSE,D G S E COMPANIES INC,5094,2,11,2009-08-17,2012-04-17
10028,DGSE,D G S E COMPANIES INC,5094,-2,11,2012-04-18,2012-11-14
10028,DGSE,D G S E COMPANIES INC,5094,2,11,2012-11-15,2019-12-17
10028,ELA,ENVELA CORP,5094,2,11,2019-12-18,2024-12-31
10029,AIFS,A I F S INC,8290,3,11,1986-02-05,1987-12-30
10029,AIF,A I F S INC,8299,2,11,1987-12-31,1990-08-29
10030,,AMERICAN BRAKE SHOE & FDRY,3310,1,10,1925-12-31,1943-04-26
10030,,AMERICAN BRAKE SHOE CO,3310,1,10,1943-04-27,1962-07-01
10030,ABK,AMERICAN BRAKE SHOE CO,3310,1,10,1962-07-02,1966-05-05
10030,ABK,ABEX CORP,3310,1,10,1966-05-06,1968-12-26
10031,ANTQ,A A IMPORTING INC,7641,3,10,1983-12-07,1986-03-31
10031,ANTQ,A A IMPORTING INC,5020,3,10,1986-04-01,1989-08-16
10032,PLXS,PLEXUS CORP,3670,3,11,1986-02-05,2024-12-31
10033,MABK,MIDAMERICA BANCSYSTEM INC,6710,3,10,1986-02-05,1986-11-28
10034,HCSB,HOME & CITY SVGS BK ALBANY NY,6020,3,11,1986-02-06,1991-09-27
10035,GGUY,GOOD GUYS INC,5730,3,11,1986-02-06,2003-12-19
10036,NURO,NEUROTECH CORP,3830,3,10,1986-02-06,1991-03-06
10037,FSLA,FRANKLIN S & L ASSN STHPLD MI,6120,3,11,1986-02-06,1988-02-29
10037,FSLA,FRANKLIN S & L ASSN STHPLD MI,6030,3,11,1988-03-01,1988-11-29
10037,FSVB,FRANKLIN SAVINGS BANK FSB,6030,3,11,1988-11-30,1991-06-30
10037,FSVB,FRANKLIN SAVINGS BANK FSB,6020,3,11,1991-07-01,1991-09-02
10037,FSVB,FRANKLIN BANK NATL ASSOC,6020,3,11,1991-09-03,2002-10-23
10037,FBCP,FRANKLIN BANCORP INC,6020,3,11,2002-10-24,2004-05-28
10038,POCI,PORTS OF CALL INC,4720,3,11,1986-02-06,1990-05-20
10038,POCI,P O C I INC,4720,3,11,1990-05-21,1991-01-29
10039,XIOX,XIOX CORP,3570,3,11,1986-02-07,1989-04-02
10039,XIOX,XIOX CORP,7370,3,11,1989-04-03,2000-04-02
10039,ATCM,AT COMM CORP,7370,3,11,2000-04-03,2000-07-31
10039,ATCM,AT COMM CORP,7372,3,11,2000-08-01,2001-06-26
10040,HARVY,HARVARD SECURITIES GROUP PLC,6210,3,31,1986-02-07,1988-06-20
10040,HARVY,HARVARD GROUP PLC,6210,3,31,1988-06-21,1989-06-15
10041,GGGG,4G DATA SYSTEMS INC,7370,3,10,1986-02-07,1990-05-16
10042,CYNR,CANYON RESOURCES CORP,1040,3,11,1986-02-07,1996-08-18
10042,CAU,CANYON RESOURCES CORP,1499,2,11,1996-08-19,2000-03-23
10042,CAU,CANYON RESOURCES CORP,1499,2,11,2000-03-24,2001-01-31
10042,CAU,CANYON RESOURCES CORP,1041,2,11,2001-02-01,2008-03-18
10043,AATI,ANALYSIS & TECHNOLOGY INC,8910,3,11,1986-02-11,1992-03-01
10043,AATI,ANALYSIS & TECHNOLOGY INC,8730,3,11,1992-03-02,1993-02-01
10043,AATI,ANALYSIS & TECHNOLOGY INC,8710,3,11,1993-02-02,1999-06-23
10044,RMCF,ROCKY MOUNTAIN CHOCOLATE FAC INC,2060,3,11,1986-02-11,1988-07-31
10044,RMCF,ROCKY MOUNTAIN CHOCOLATE FAC INC,2060,3,11,1988-08-01,2015-03-01
10044,RMCF,ROCKY MOUNTAIN CHOC FAC INC NEW,2060,3,11,2015-03-02,2024-12-31
10045,OLVR,OLIVERS STORES INC,5620,3,10,1986-02-11,1987-04-16
10046,CPUIA,COMMERCIAL PROGRAMMING UNLMTD,8200,3,11,1986-02-14,1987-03-31
10046,CPUIA,COMMERCIAL PROGRAMMING UNLMTD,8240,3,11,1987-04-01,1994-07-31
10046,MENUA,UNIVERSAL FRANCHISE OPPTYS CORP,8240,3,11,1994-08-01,1994-08-01
10046,MENU,UNIVERSAL FRANCHISE OPPTYS CORP,8240,3,11,1994-08-02,1995-03-15
10047,FOAM,TEXSTYRENE CORP,2820,3,10,1986-02-11,1989-10-22
10047,LMNT,ARIS CORP,2820,3,10,1989-10-23,1989-10-31
10047,LMNT,ARIS CORP,5650,3,10,1989-11-01,1991-04-15
10047,LMNT,LAMONTS CORP,5650,3,10,1991-04-16,1992-11-01
10047,LMNT,LAMONTS APPAREL INC,5650,3,11,1992-11-02,1995-01-20
10048,CCCO,CENTURY COMMUNICATIONS CORP,4890,3,11,1986-02-12,1988-07-17
10048,CTY,CENTURY COMMUNICATIONS CORP,4841,2,11,1988-07-18,1995-01-04
10048,CTYA,CENTURY COMMUNICATIONS CORP,4840,3,11,1995-01-05,1999-10-01
10049,,ABITIBI POWER & PAPER LTD,2640,1,12,1925-12-31,1932-09-28
10050,ABLD,AMERICAN BLDGS CO,3490,3,10,1972-12-29,1978-01-02
10050,ABCC,A B C INVESTMENT CO,3448,3,10,1978-01-03,1978-06-16
10051,SEQL,SEQUEL CORP,4830,3,11,1986-02-14,1986-11-02
10051,SEQL,SEQUEL CORP,3840,3,11,1986-11-03,1989-08-13
10051,HOGG,HANGER ORTHOPEDIC GROUP INC,3840,3,11,1989-08-14,1990-11-11
10051,HNGR,HANGER ORTHOPEDIC GROUP INC,3840,3,11,1990-11-12,1991-01-01
10051,HNGR,HANGER ORTHOPEDIC GROUP INC,3840,3,11,1991-01-02,1991-04-30
10051,HGR,HANGER ORTHOPEDIC GROUP INC,3842,2,11,1991-05-01,1998-12-14
10051,HGR,HANGER ORTHOPEDIC GROUP INC,3842,1,11,1998-12-15,2011-06-09
10051,HGR,HANGER ORTHOPEDIC GROUP INC,8093,1,11,2011-06-10,2012-06-13
10051,HGR,HANGER INC,8093,1,11,2012-06-14,2016-02-28
10051,,HANGER INC,8093,0,11,2016-02-29,2018-09-11
10051,HNGR,HANGER INC,8093,1,11,2018-09-12,2020-02-13
10051,HNGR,HANGER INC,4813,1,11,2020-02-14,2022-10-03
10052,VLVL,VIDEO LIBRARY INC,5730,3,10,1986-02-14,1988-03-30
10053,CDNI,CARDINAL INDUSTRIES INC,5030,3,10,1986-02-14,1990-01-19
10054,BNUI,BIO NUTRIONICS INC,8040,3,10,1986-02-14,1987-01-22
10055,GRAR,GREAT AMERICAN RECREATION INC,7990,3,11,1986-02-14,1990-01-18
10055,GRAR,GREAT AMERICAN RECREATION INC,7990,3,11,1990-01-19,1995-08-23
10056,NMSB,NEW MILFORD SAVINGS BANK,6020,3,11,1986-02-14,1987-01-01
10056,NMSB,NEW MILFORD SAVINGS BANK,6710,3,11,1987-01-02,1987-10-19
10056,NMSB,NEWMIL BANCORP INC,6710,3,11,1987-10-20,1999-06-30
10056,NMSB,NEWMIL BANCORP INC,6030,3,11,1999-07-01,2000-10-01
10056,NMIL,NEWMIL BANCORP INC,6036,3,11,2000-10-02,2006-10-06
10057,,NATIONAL ACME CO,3540,1,11,1925-12-31,1962-07-01
10057,NCM,NATIONAL ACME CO,3541,1,11,1962-07-02,1968-10-27
10057,AMT,ACME CLEVELAND CORP,3541,1,11,1968-10-28,1991-09-30
10057,AMT,ACME CLEVELAND CORP NEW,3541,1,11,1991-10-01,1996-07-02
10058,ABKC,A B K C O INDUSTRIES INC,5099,3,10,1972-12-14,1974-11-26
10058,,A B K C O INDUSTRIES INC,5099,0,10,1974-11-27,1975-01-23
10058,ABKC,A B K C O INDUSTRIES INC,5099,3,10,1975-01-24,1984-09-11
10059,OFSLY,ORANGE FREE STATE INVESTMENT LTD,1040,3,30,1986-02-24,1994-04-15
10060,FSCNY,FREE STATE CONSOL GOLD CO LTD,1040,3,30,1986-02-24,1998-06-25
10061,USBK,UNITED SAVINGS BANK VIENNA VA,6120,3,11,1986-02-19,1986-06-01
10061,USBK,UNITED SAVINGS BANK VIENNA VA,6020,3,11,1986-06-02,1990-07-30
10062,NOAX,NORTHEAST OHIO AXLE INC,3710,3,11,1986-02-19,1986-05-12
10062,NOAX,N E O A X INC,3710,3,11,1986-05-13,1989-11-14
10062,ENSO,ENVIROSOURCE INC,3710,3,11,1989-11-15,1998-06-22
10062,ENSO,ENVIROSOURCE INC,3710,3,11,1998-06-23,1999-09-01
10063,NMRC,N M R CENTERS INC,8080,3,11,1986-02-19,1987-05-13
10063,AHTS,AMERICAN HEALTH SVCS CORP,8080,3,11,1987-05-14,1993-07-15
10064,TTOY,TYCO TOYS INC,5040,3,11,1986-02-20,1991-11-20
10064,TTI,TYCO TOYS INC,3944,1,11,1991-11-21,1997-03-27
10065,,ADAMS EXPRESS CO,4710,1,14,1925-12-31,1930-01-01
10065,,ADAMS EXPRESS CO,6720,1,14,1930-01-02,1962-07-01
10065,ADX,ADAMS EXPRESS CO,6723,1,14,1962-07-02,1968-01-01
10065,ADX,ADAMS EXPRESS CO,6723,1,14,1968-01-02,2001-08-23
10065,ADX,ADAMS EXPRESS CO,6726,1,14,2001-08-24,2019-08-08
10065,ADX,ADAMS EXPRESS CO,6722,1,14,2019-08-09,2024-12-31
10066,ABMC,ABM COMPUTER SYS,3573,3,11,1983-08-25,1987-02-26
10066,FTCO,FRANKLIN TELECOMMUNICATIONS CORP,3573,3,11,1987-02-27,1990-01-29
10066,,FRANKLIN TELECOMMUNICATIONS CORP,3573,0,11,1990-01-30,1999-03-17
10066,FCM,FRANKLIN TELECOMMUNICATIONS CORP,4813,2,11,1999-03-18,2001-01-31
10066,FCM,FRANKLIN TELECOMMUNICATIONS CORP,7373,2,11,2001-02-01,2001-11-14
10066,FCM,FRANKLIN TELECOMMUNICATIONS CORP,7373,-2,11,2001-11-15,2002-02-18
10066,FCM,FRANKLIN TELECOMMUNICATIONS CORP,7373,2,11,2002-02-19,2002-08-25
10066,,FRANKLIN TELECOMMUNICATIONS CORP,7373,0,11,2002-08-26,2008-01-21
10066,,FRANKLIN WIRELESS CORP,7373,0,11,2008-01-22,2021-03-28
10066,FKWL,FRANKLIN WIRELESS CORP,7373,3,11,2021-03-29,2024-12-31
10067,HYGA,HYGEIA SCIENCES INC,2830,3,10,1986-02-20,1987-03-11
10068,APGI,AMERICAN PROPERTY GROUPS INC,6550,3,10,1986-02-21,1986-11-17
10069,AJIL,ACA JOE INTERCON LTD,5650,3,10,1986-02-24,1987-01-16
10070,DIGT,DIGITEXT INC,3570,3,10,1986-02-27,1990-11-20
10071,ABSB,ALEX BROWN INC,6210,3,11,1986-02-28,1992-03-08
10071,AB,ALEX BROWN INC,6211,1,11,1992-03-09,1997-08-29
10072,DEWS,DEWS LABORATORIES INC,2830,3,10,1986-02-28,1988-01-11
10072,SMRX,SUMMA RX LABORATORIES INC,2830,3,10,1988-01-12,1991-03-24
10072,,SUMMA RX LABORATORIES INC,2830,0,10,1991-03-25,1992-01-30
10072,SMRX,SUMMA RX LABORATORIES INC,2830,3,11,1992-01-31,1992-09-30
10073,,ADVANCE RUMELY CO,3520,1,10,1925-12-31,1931-02-08
10073,,ADVANCE RUMELY CORP,3520,1,10,1931-02-09,1938-07-27
10074,ABSI,A B S INDUSTRIES INC,3312,3,11,1982-01-18,1986-03-31
10074,ABSI,A B S INDUSTRIES INC,3460,3,11,1986-04-01,1996-03-13
10075,VWRX,V W R CORP,7330,3,11,1986-03-03,1995-09-27
10075,VWRX,V W R SCIENTIFIC PRODUCTS CORP,7330,3,11,1995-09-28,1999-07-27
10076,SCAT,SCAT HOVERCRAFT INC,3730,3,10,1986-03-03,1990-05-31
10077,STRS,SPROUSE REITZ STORES INC,5390,3,11,1986-04-10,1994-01-10
10078,SUNW,SUN MICROSYSTEMS INC,3570,3,11,1986-03-04,2007-08-26
10078,JAVA,SUN MICROSYSTEMS INC,3571,3,11,2007-08-27,2007-11-11
10078,JAVA,SUN MICROSYSTEMS INC,3571,3,11,2007-11-12,2010-01-26
10079,GCCC,GENERAL COMPUTER CORP,7370,3,11,1986-03-04,1995-03-14
10080,MHCO,MOORE HANDLEY INC,5090,3,11,1986-03-05,2001-09-30
10080,MHCO,MOORE HANDLEY INC,5072,3,11,2001-10-01,2003-10-31
10081,,AHUMADA LEAD CO,1000,1,10,1925-12-31,1931-06-18
10082,ACSE,A C S ENTERPRISE INC,3662,3,10,1983-03-21,1986-03-31
10082,ACSE,A C S ENTERPRISE INC,4890,3,10,1986-04-01,1991-07-24
10082,,A C S ENTERPRISE INC,4890,0,10,1991-07-25,1992-12-14
10082,ACSE,A C S ENTERPRISES,4840,3,11,1992-12-15,1995-09-28
10083,TKAI,TEKNOWLEDGE INC,7370,3,11,1986-03-05,1989-02-26
10083,CMTK,CIMFLEX TEKNOWLEDGE CORP,7370,3,11,1989-02-27,1993-09-09
10084,CRCC,CRAFTMATIC CONTOUR INDS INC,5020,3,11,1986-03-05,1993-07-18
10084,CRCC,CRAFTMATIC INDUSTRIES INC,5020,3,11,1993-07-19,1994-03-03
10085,UICI,UNITED INSURANCE COS INC,6320,3,11,1986-03-06,1996-07-01
10085,UICI,U I C I,6320,3,11,1996-07-02,1999-04-29
10085,UCI,U I C I,6321,1,11,1999-04-30,2006-04-04
10086,LBSC,L S B BANCSHARES INC SC,6710,3,10,1986-03-06,1994-06-30
10087,BUTI,BEAUTICONTROL COSMETICS INC,5960,3,11,1986-03-06,2000-10-18
10088,VRBB,V R BUSINESS BROKERS INC,7390,3,11,1986-03-06,1988-05-23
10089,SYNR,SYNERCOM TECHNOLOGY INC,7370,3,11,1986-03-07,1995-04-20
10089,ATGI,ALPHA TECHNOLOGIES GROUP INC,7370,3,11,1995-04-21,2000-07-31
10089,ATGI,ALPHA TECHNOLOGIES GROUP INC,3644,3,11,2000-08-01,2005-02-28
10090,AMSE,AMERICAN MOBILE SYSTEMS INC,4810,3,11,1986-03-07,1990-11-29
10090,AMSE,AMERICAN MOBILE SYSTEMS INC,4810,3,11,1990-11-30,1995-07-31
10091,ITXI,INTERACTIVE TECHNOLOGIES INC,3660,3,11,1986-03-07,1989-02-27
10092,LCIC,LEISURE CONCEPTS INC,7920,3,11,1986-03-07,1995-11-16
10092,KIDE,4 KIDS ENTERTAINMENT INC,7920,3,11,1995-11-17,2000-09-19
10092,KDE,4 KIDS ENTERTAINMENT INC,6794,1,11,2000-09-20,2006-06-29
10092,KDE,4 KIDS ENTERTAINMENT INC,7922,1,11,2006-06-30,2010-05-28
10093,AIRC,ASSOCIATED INNS & REST CO AMER,7390,3,11,1986-03-07,1987-12-29
10093,AIRC,AIRCOA HOSPITALITY SVCS INC,7390,3,11,1987-12-30,1988-07-31
10093,AIRC,AIRCOA HOSPITALITY SVCS INC,7010,3,11,1988-08-01,1990-05-03
10094,TUES,TUESDAY MORNING INC,5710,3,11,1986-03-07,1991-10-31
10094,TUES,TUESDAY MORNING CORP,5710,3,11,1991-11-01,1997-12-26
10095,SYGN,SYNERGEN INC,2830,3,11,1986-03-07,1994-12-29
10096,CIBA,CITIZENS BANK NC,6020,3,11,1986-03-11,1990-03-14
10097,FACE,FACELIFTERS HOME SYSTEMS INC,2490,3,10,1986-03-10,1988-04-25
10097,,FACELIFTERS HOME SYSTEMS INC,2490,0,10,1988-04-26,1991-08-05
10097,FACE,FACELIFTERS HOME SYSTEMS INC,2490,3,11,1991-08-06,1991-09-02
10097,FACE,FACELIFTERS HOME SYSTEMS INC,2430,3,11,1991-09-03,1993-06-30
10097,FACE,FACELIFTERS HOME SYSTEMS INC,1520,3,11,1993-07-01,1994-05-02
10097,FIX,FACELIFTERS HOME SYSTEMS INC,3083,2,11,1994-05-03,1994-08-07
10097,FACE,FACELIFTERS HOME SYSTEMS INC,1790,3,11,1994-08-08,1996-04-25
10098,PTEK,POLY TECH INC,3070,3,11,1986-03-11,1986-09-02
10098,POLY,POLY TECH INC,3070,3,11,1986-09-03,1989-04-07
10099,ABCI,AMERICAN BIOMATERIALS CORP,3840,3,10,1986-03-11,1987-07-09
10100,AMCE,AMERICAN CLAIMS EVALUATION INC,6410,3,11,1986-03-11,1999-06-30
10100,AMCE,AMERICAN CLAIMS EVALUATION INC,8300,3,11,1999-07-01,2010-03-22
10100,ALRN,AMERICAN LEARNING CORP NY,8300,3,11,2010-03-23,2013-03-22
10101,PACR,PACER CORP WA,3570,3,10,1986-03-12,1988-07-08
10102,,AIR REDUCTION INC,2810,1,10,1925-12-31,1962-07-01
10102,AN,AIR REDUCTION INC,2813,1,10,1962-07-02,1968-01-01
10102,AN,AIR REDUCTION INC,2813,1,10,1968-01-02,1971-09-30
10102,AN,AIRCO INC,2813,1,10,1971-10-01,1978-05-05
10103,ACSC,A C S INDUSTRIES INC,3496,3,10,1977-03-23,1986-03-31
10103,ACSC,A C S INDUSTRIES INC,3310,3,10,1986-04-01,1989-12-27
10104,ORCL,ORACLE SYSTEMS CORP,7370,3,11,1986-03-12,1995-05-31
10104,ORCL,ORACLE CORP,7370,3,11,1995-06-01,2013-07-14
10104,ORCL,ORACLE CORP,7372,1,11,2013-07-15,2023-06-26
10104,ORCL,ORACLE CORP,7379,1,11,2023-06-27,2024-12-31
10105,TPPS,TOPS MARKETS INC,5410,3,10,1986-03-12,1987-08-26
10106,LNSB,LINCOLN MUTUAL SAVINGS BANK,0,3,11,1986-03-12,1986-03-13
10106,LNSB,LINCOLN SAVINGS BANK CARNEGIE PA,6020,3,11,1986-03-14,1995-01-05
10107,MSFT,MICROSOFT CORP,7370,3,11,1986-03-13,2024-12-31
10108,SNDT,SUNGARD DATA SYSTEMS INC,7370,3,11,1986-03-13,1997-06-03
10108,SDS,SUNGARD DATA SYSTEMS INC,7374,1,11,1997-06-04,2005-08-11
10109,FCDA,FIRST FED S & L ASSN COEUR ID,6120,3,11,1986-03-13,1988-02-29
10109,FCDA,FIRST FED S & L ASSN COEUR ID,6030,3,11,1988-03-01,1989-08-13
10109,MWSB,MOUNTAIN WEST SAVINGS BANK F S B,6030,3,11,1989-08-14,1990-08-27
10110,,AJAX RUBR INC,3010,1,10,1925-12-31,1931-02-14
10111,,A D A FINANCIAL SERVICE CORP,6411,3,10,1972-12-14,1973-03-21
10112,IFEX,IFEX INC,8010,3,10,1986-03-13,1988-06-27
10113,AADR,ADVISORSHARES TRUST,6726,4,73,2010-07-21,2021-06-02
10113,AADR,ADVISORSHARES TRUST,6726,3,73,2021-06-03,2024-12-31
10114,AKLM,ACCLAIM ENTERTAINMENT INC,7810,3,11,1988-06-22,1989-07-25
10114,AKLM,ACCLAIM ENTERTAINMENT INC,7810,3,11,1989-07-26,2000-07-31
10114,AKLM,ACCLAIM ENTERTAINMENT INC,7372,3,11,2000-08-01,2004-08-27
10115,CSBN,COMMUNITY SAVINGS BANK MA,6020,3,10,1986-03-14,1988-06-02
10116,HADR,HALSEY DRUG INC,2830,3,11,1986-03-14,1988-11-29
10116,HDG,HALSEY DRUG INC,2834,2,11,1988-11-30,1995-04-17
10116,HDG,HALSEY DRUG INC,2834,-2,11,1995-04-18,1995-05-15
10116,HDG,HALSEY DRUG INC,2834,2,11,1995-05-16,2000-09-06
10116,,HALSEY DRUG INC,2834,0,11,2000-09-07,2004-08-12
10116,,ACURA PHARMACEUTICALS INC,2834,0,11,2004-08-13,2007-12-04
10116,,ACURA PHARMACEUTICALS INC,2834,0,11,2007-12-05,2008-02-03
10116,ACUR,ACURA PHARMACEUTICALS INC,2834,3,11,2008-02-04,2015-08-27
10116,ACUR,ACURA PHARMACEUTICALS INC,2834,3,11,2015-08-28,2017-02-22
10117,UMBE,U M B EQUITIES INC,7390,3,10,1986-03-17,1987-10-09
10118,COHY,CONSOLIDATED HYDRO INC,4910,3,10,1986-03-18,1988-11-16
10119,TWEN,20TH CENTURY INDUSTRIES CA,6330,3,11,1986-03-18,1991-09-15
10119,TW,20TH CENTURY INDUSTRIES,6311,1,11,1991-09-16,1999-01-31
10119,TW,20TH CENTURY INDUSTRIES,6331,1,11,1999-02-01,2000-01-02
10119,TW,21ST CENTURY INSURANCE GROUP,6331,1,11,2000-01-03,2007-09-27
10120,PIPR,PIPER JAFFRAY INC,6210,3,11,1986-03-18,1992-02-27
10120,PJC,PIPER JAFFRAY INC,6211,1,11,1992-02-28,1993-02-11
10120,PJC,PIPER JAFFRAY COS INC,6211,1,11,1993-02-12,1998-05-01
10121,MCOR,MARINE CORP IL,6710,3,11,1986-03-18,1991-12-31
10122,MSBK,MEDFORD SVGS BK MA,6020,3,11,1986-03-18,1987-08-03
10122,REGB,REGIONAL BANCORP INC,6020,3,11,1987-08-04,1993-07-22
10122,MDBK,MEDFORD SAVINGS BANK,6020,3,11,1993-07-23,1997-11-25
10122,MDBK,MEDFORD BANCORP INC,6020,3,11,1997-11-26,1999-06-30
10122,MDBK,MEDFORD BANCORP INC,6030,3,11,1999-07-01,2002-10-15
