permno,ticker,comnam,namedt,nameendt
14040,S,SPRINT CORP NEW,2013-07-12,2014-05-20
14040,S,SPRINT CORP NEW,2014-05-21,2016-12-18
14040,S,SPRINT CORP NEW,2016-12-19,2020-03-31
39087,S,SPRINT NEXTEL CORP,2005-08-15,2013-07-10
60599,CTL,CENTURYTEL INC,1999-05-10,2001-08-23
60599,CTL,CENTURYTEL INC,2001-08-24,2010-05-31
60599,CTL,CENTURYLINK INC,2010-06-01,2011-06-21
60599,CTL,CENTURYLINK INC,2011-06-22,2011-09-01
60599,CTL,CENTURYLINK INC,2011-09-02,2020-09-17
