Model,FCC Coefficient,FCC p-value,Gov Coeff,Interaction,Interaction p-value,R-squared
FCC Only,1.5844958358309607,0.08277017169669414,,,,0.38955891119042874
FCC + Governance,1.5844958358309513,0.08277017169669545,0.1934510288761907,,,0.38955891119042874
FCC × Governance,1.5864679338435435,0.0890299673314905,0.19590023124803685,-0.5073740722468163,0.8518544912649272,0.3896237056195858
