Method,Coefficient,SE,P-value
OLS,0.8602214486849261,0.867773730795703,0.32191523317006115
HC1,0.8602214486849261,0.8964121839807925,0.33724291130225126
HC2,0.8602214486849261,0.8973228854724633,0.337733486185532
HC3,0.8602214486849261,0.9039563449409931,0.34129057001042196
Firm-clustered,0.8602214486849261,1.0649583172306831,0.41923377419867536
Date-clustered,0.8602214486849261,1.0070282022243917,0.3929843040778589
