Model,FCC Coefficient,Diversity Coefficient,Interaction,R-squared
Model 1: FCC Only,-2.1187**,N/A,N/A,0.0123
Model 2: FCC + Diversity,-2.1189**,-0.0600,N/A,0.0123
Model 3: FCC x Diversity,-2.2615,-0.1415,0.5568,0.0124
