Model,FCC Coefficient,Complexity Coefficient,Interaction,R-squared
Model 1: FCC Only,-2.3046**,N/A,N/A,0.0127
Model 2: FCC + Complexity,-2.6632**,1.9307,N/A,0.0209
Model 3: FCC x Complexity,-18.3388**,0.6888,17.2901*,0.0671
