Dataset,N,FCC Coef,SE,t-stat,p-value,R2
"Original (1,054)",898,-2.2993880519137977,0.74276726585154,-3.095704613850587,0.0020247795189210997,0.020140527652867668
Full Dedup (784),653,-2.1948013710790057,0.880611590375966,-2.4923603039814215,0.012938808117352454,0.021444820606806747
Conservative (tight),655,-2.2434854371866084,0.8683310647900013,-2.5836751996534604,0.009992850431125,0.021706706492905403
