Quartile,FCC Coefficient,SE,P-value,N,FCC Count
Q1,-10.677937356607371,4.754687732158898,0.024718712985602166,162,21
Q2,-0.5020497990134454,3.7002525185210153,0.8920743580393096,162,10
Q3,1.9874086348107238,2.0157809802385533,0.32416997347227994,162,23
Q4,0.2504677215586699,1.2183275177101711,0.8371164684421603,162,71
