Sample,N,Prior Breach Coef,SE,t-stat,p-value,Significant,R2
"Original (1,054)",898,-0.11059993094523389,0.03850363200702974,-2.872454497929995,0.0041696411516761065,Yes,0.02913113817123625
Deduplicated (784),653,0.053493006843659936,0.052355929079160195,1.02171822340848,0.307296745036826,No,0.023023572361790756
Original - Cencora,841,0.08280213618031644,0.053000033273832466,1.5623034754055158,0.1185958659120519,No,0.02938487018262026
