Variable,Coefficient,SE,P-value,t-stat
const,-4.823272020110974,3.7001126920702774,0.19238796889658294,-1.3035473299090976
immediate_disclosure,0.8602214486849261,0.9039563449409931,0.34129057001042196,0.9516183535844069
fcc_reportable,-2.059303403269971,1.0850741618962472,0.05771640248306609,-1.897845765372559
prior_breaches_1yr,0.02215046661404843,0.06769796303787058,0.7435200493749934,0.32719546674775646
health_breach,-0.6279079363532258,1.6141725695727398,0.6972785263329585,-0.3889967827414071
firm_size_log,0.3073531209455079,0.31681327719308117,0.33197688898354905,0.970139647140458
leverage,1.7732527130090388,1.3678710439501034,0.19485163557268192,1.2963595660949767
roa,21.643195143722746,8.862319569227989,0.01459970742276726,2.4421591858268004
