Model,FCC Coefficient,FCC p-value,Media Coeff,Interaction,Interaction p-value,R-squared
FCC Only,1.5844958358309607,0.08277017169669414,,,,0.38955891119042874
FCC + Media,1.5302309690759217,0.1033292472640092,0.24122136621067586,,,0.38987373548862525
FCC × Media,1.6542623554272062,0.07900490825077369,0.6027272677805301,-1.1000099879251215,0.6316240407523361,0.39132740724151016
