Model,FCC Coefficient,Governance Coefficient,Interaction,R-squared
Model 1: FCC Only,-1.8969,N/A,N/A,0.0216
Model 2: FCC + Gov,-2.1234,-1.0182,N/A,0.0228
Model 3: FCC x Gov,-2.6699**,-1.4681,4.9723,0.0269
