Comparison,Group,Mean CAR,SE,CI Lower,CI Upper,N
FCC Status,FCC,-1.6972711999999999,0.8396176315433547,-3.342921757824975,-0.05162064217502471,125
FCC Status,Non-FCC,0.05819158699808796,0.37829214547138623,-0.683261018125829,0.799644192122005,523
Disclosure Speed,Immediate (<=7d),0.11472054794520535,0.7236706016000234,-1.3036738311908405,1.5331149270812512,146
Disclosure Speed,Delayed (>7d),-0.3953663346613545,0.3947458252414565,-1.1690681521346091,0.3783354828119002,502
Breach Type,Health,-0.939934210526316,1.5362990867160646,-3.9510804204898027,2.0712119994371707,38
Breach Type,Non-Health,-0.23935606557377057,0.3555803902859579,-0.936293630534248,0.4575814993867069,610
History,Prior Breach,-0.41491688311688313,0.695394318383213,-1.7778897471479804,0.9480559809142143,77
History,First-Time,-0.39902068181818173,0.4555842969110698,-1.2919659037638784,0.49392454012751497,440
