Restriction,Coefficient,SE,P-value,N
Full,0.8602214486849261,0.9039563449409931,0.34129057001042196,648
Exclude largest decile,0.6789766639759749,0.9765043600410439,0.4868588559995657,583
Exclude smallest decile,0.22334238599132747,0.8757407231840402,0.7986979623356425,583
Exclude outliers (3 SD),0.2509775384300682,0.7922485733228668,0.7514018866071291,637
FCC only,-0.4007168783731101,1.5836788925553034,0.8002457098219505,125
Non-FCC only,0.8197837132793543,1.0740591519627198,0.44530983727813067,523
Non-health breaches,0.6726514915866004,0.9328296224898676,0.4708558717527743,610
Prior breach history,0.6786273167166386,1.0763615959610089,0.5283788475427351,208
