Variable,Mean,SD,Min,Max,N
Car 30D,-0.39612366071428556,8.931637788673937,-42.5551,34.0505,672
Firm Size Log,10.525442214944093,1.2415729895954006,5.639736987512949,14.74072138721299,648
Leverage,0.722057097172493,0.23924611597432588,0.1389681310620262,2.518303113239822,650
Roa,0.01077690999108164,0.03568752886429993,-0.334553058024046,0.2076923076923077,650
FCC Reportable (count),128.0,-,-,-,672
Immediate Disclosure (count),155.0,-,-,-,672
Health Breach (count),40.0,-,-,-,672
Prior Breach (count),80.0,-,-,-,672
