Control,FCC Coefficient,FCC P-value,Control Coefficient,Control P-value
HHI Concentration,-2.0779678062214,0.055375903903499994,-3.107781423632787e-05,0.8007274943770437
Breach Severity,-2.0883001156608776,0.054696377356059,2.4171225645999495e-08,0.25949792432485397
