Sample,N,Health Breaches,Health Breach Coef,SE,t-stat,p-value,Significant,R2
"Original (1,054)",898,106,-2.9619346618037623,0.914828540631641,-3.2376937647339927,0.0012495288493946783,Yes,0.03153457330402032
Deduplicated (784),653,38,-0.6740890686007318,1.4782854259287233,-0.45599385394551917,0.6485476465011673,No,0.021759690411477517
Original - Cencora,841,56,-0.6463071315453067,1.2234638324521037,-0.5282601041421536,0.5974593492050456,No,0.026869870993811107
