Measure,FCC Coefficient,p-value,R-squared
Standard Deviation [PRIMARY],1.5844958358309607,0.08277017169669414,0.38955891119042874
Daily Absolute Returns,1.584491698366266,0.08277076228222571,0.3895588757488656
"GARCH(1,1) Conditional Vol",0.7943136622758575,0.4203596793364617,0.487347503345785
