statistic,observed,perm_p,null_mean,null_sd,null_q75,null_q95,detail
S1_median_estimate,0.2191,0.241758,0.0129,0.1965,0.2124,0.3856,two-sided on absolute median
S2_dominant_sign_count,193.0,0.344655,167.4,30.8,193.0,193.0,unanimous-sign curves arise in over a third of placebo draws
S3_significant_dominant,1.0,0.3996,16.95,38.4,12.0,111.04999999999995,observed count sits below the null mean
