variable,e2_vol_change,fcc_form499,delay_w,firm_size_log,leverage,roa,health_breach,prior_events
e2_vol_change,1.0,0.0195,0.0711,0.0431,0.0204,0.094,-0.0424,0.0299
fcc_form499,0.0195,1.0,0.0449,0.5724,0.1837,-0.2257,-0.1454,-0.093
delay_w,0.0711,0.0449,1.0,0.1073,-0.0188,-0.0237,0.0925,-0.1195
firm_size_log,0.0431,0.5724,0.1073,1.0,0.0746,-0.2742,-0.0272,-0.2466
leverage,0.0204,0.1837,-0.0188,0.0746,1.0,0.004,0.1257,-0.1275
roa,0.094,-0.2257,-0.0237,-0.2742,0.004,1.0,-0.0166,0.4789
health_breach,-0.0424,-0.1454,0.0925,-0.0272,0.1257,-0.0166,1.0,-0.1455
prior_events,0.0299,-0.093,-0.1195,-0.2466,-0.1275,0.4789,-0.1455,1.0
