quartile,coef_cv3,se_cv3,ci_lo,ci_hi,p_cv3,G_cell,se_hc3_bound,p_hc3_bound,hc3_cell_df,dropped_in_cv3,cellN,treatedN,t_orgs,t_parents,mde80_cv3,tost_p,verdict,flag_le5_parents,bh_adjusted_p
Q1,-0.9894,1.2378,-3.6864,1.7076,0.439649,13,0.3264,0.003342,75,health_breach,83,2,1,1,3.7771,0.712665,INCONCLUSIVE,YES,0.498229
Q2,0.3,0.4384,-0.59,1.1901,0.498229,36,0.3262,0.360623,75,,84,14,8,4,1.2636,0.522351,INCONCLUSIVE,YES,0.498229
Q3,0.7022,0.6036,-0.5289,1.9333,0.253563,32,0.3189,0.030871,72,,81,27,12,3,1.7462,0.757659,INCONCLUSIVE,YES,0.498229
Q4,0.3485,0.4131,-0.5608,1.2578,0.416909,12,0.1844,0.062692,74,,83,59,19,5,1.271,0.568689,INCONCLUSIVE,YES,0.498229
