final_cik,org_name,breach_date,reported_date,fcc_form499
47217,Hewlett-Packard Company,2007-07-01,2007-08-16 00:00:00,0
47217,Hewlett Packard Company,2007-08-16,2007-08-16 00:00:00,0
51143,IBM,2007-02-23,2007-04-26 00:00:00,0
78003,Pfizer Inc,2006-12-01,2007-08-24 00:00:00,0
764180,"Altria Group, Inc.",2006-12-01,2007-01-10 00:00:00,0
1136893,"Fidelity National Information Services, Inc.",2007-09-24,2007-09-27 00:00:00,0
