year,total,treated,control
2007,6,0,6
2008,11,5,6
2009,3,3,0
2010,4,0,4
2011,2,0,2
2012,7,1,6
2013,14,1,13
2014,16,12,4
2015,20,7,13
2016,37,0,37
2017,44,12,32
2018,17,4,13
2019,23,9,14
2020,12,6,6
2021,19,9,10
2022,21,6,15
2023,48,14,34
2024,29,15,14
