outcome,coef,se,ci_lo,ci_hi,p,n,n_treated,G,bh_threshold,bh_reject,corr_with_vol_change
CPQS change,5e-05,3.5e-05,-2e-05,0.000119,0.159333,331,102,81,0.016667,False,-0.048
EDGE change,0.002225,0.00309,-0.003925,0.008374,0.473621,331,102,81,0.033333,False,-0.109
log-OCAM change,-0.06927,0.096331,-0.260975,0.122436,0.47419,331,102,81,0.05,False,0.074
