cik,breach_date,executive_change_30d,executive_change_90d,executive_change_180d,num_item5_02_filings_180d,days_to_first_item_5_02
815097,2020-08-15,0.0,0.0,1.0,1.0,111.0
815097,2019-04-11,0.0,0.0,0.0,0.0,
815097,2019-04-01,0.0,0.0,0.0,0.0,
1324404,2020-03-30,0.0,0.0,0.0,0.0,
1140859,2024-02-21,1.0,1.0,1.0,5.0,20.0
1140859,2024-04-10,1.0,1.0,1.0,3.0,23.0
1140859,2024-05-08,0.0,0.0,1.0,2.0,99.0
1071739,2015-10-08,0.0,0.0,1.0,2.0,145.0
1034054,2022-02-10,0.0,1.0,1.0,2.0,47.0
713676,2018-10-11,0.0,1.0,1.0,1.0,84.0
18926,2017-01-30,1.0,1.0,1.0,2.0,24.0
18926,2017-02-28,0.0,0.0,1.0,1.0,93.0
18926,2013-12-27,0.0,0.0,1.0,1.0,157.0
18926,2020-08-20,0.0,0.0,1.0,1.0,153.0
18926,2022-03-15,1.0,1.0,1.0,1.0,13.0
1932393,2024-02-12,0.0,1.0,1.0,1.0,63.0
1324404,2009-07-23,0.0,0.0,0.0,0.0,
1091667,2014-09-30,0.0,0.0,1.0,1.0,164.0
1091667,2008-08-11,0.0,1.0,1.0,4.0,50.0
1091667,2022-12-21,0.0,1.0,1.0,1.0,65.0
1091667,2023-09-01,0.0,1.0,1.0,2.0,54.0
1091667,2013-04-26,1.0,1.0,1.0,1.0,6.0
1091667,2008-07-14,0.0,1.0,1.0,3.0,78.0
1091667,2014-01-21,1.0,1.0,1.0,2.0,1.0
1091667,2023-01-01,0.0,1.0,1.0,1.0,54.0
1091667,2021-05-01,0.0,0.0,1.0,1.0,171.0
200406,2020-12-24,0.0,0.0,0.0,0.0,
723254,2020-09-16,0.0,0.0,0.0,0.0,
858877,2012-04-13,0.0,0.0,1.0,3.0,111.0
858877,2012-03-26,0.0,0.0,1.0,2.0,129.0
877890,2019-04-30,0.0,1.0,1.0,4.0,37.0
877890,2016-11-15,0.0,1.0,1.0,3.0,52.0
877890,2018-10-13,0.0,1.0,1.0,1.0,59.0
877890,2013-04-26,1.0,1.0,1.0,3.0,14.0
877890,2018-10-13,0.0,1.0,1.0,1.0,59.0
877890,2018-10-13,0.0,1.0,1.0,1.0,59.0
1136893,2024-10-18,1.0,1.0,1.0,2.0,28.0
1034054,2022-10-28,0.0,0.0,1.0,2.0,116.0
1973266,2019-01-31,0.0,0.0,0.0,0.0,
21344,2018-06-02,0.0,0.0,1.0,1.0,138.0
1058290,2020-04-09,0.0,0.0,1.0,1.0,111.0
1166691,2014-09-29,0.0,1.0,1.0,1.0,85.0
1166691,2008-01-29,1.0,1.0,1.0,1.0,15.0
1166691,2024-02-14,0.0,1.0,1.0,1.0,61.0
1166691,2023-10-16,0.0,1.0,1.0,1.0,51.0
1166691,2024-10-04,0.0,0.0,1.0,1.0,166.0
1166691,2024-02-14,0.0,1.0,1.0,1.0,61.0
1166691,2023-10-16,0.0,1.0,1.0,1.0,51.0
1166691,2024-01-26,0.0,1.0,1.0,1.0,80.0
1166691,2009-06-22,0.0,0.0,0.0,0.0,
1166691,2009-05-11,0.0,0.0,0.0,0.0,
1034054,2020-01-18,0.0,0.0,0.0,0.0,
1390777,2023-05-29,0.0,1.0,1.0,1.0,32.0
713676,2023-05-29,0.0,0.0,0.0,0.0,
1932393,2023-12-19,0.0,1.0,1.0,2.0,48.0
1755672,2023-03-01,0.0,0.0,0.0,0.0,
909832,2014-06-19,0.0,0.0,1.0,3.0,132.0
732717,2018-08-21,0.0,0.0,0.0,0.0,
732717,2018-08-17,0.0,0.0,0.0,0.0,
1535527,2024-07-19,0.0,0.0,0.0,0.0,
1713683,2022-04-01,0.0,0.0,1.0,2.0,125.0
1051470,2013-10-31,0.0,0.0,1.0,2.0,113.0
1051470,2013-11-19,0.0,0.0,1.0,2.0,94.0
713676,2021-03-08,0.0,0.0,0.0,0.0,
277948,2013-09-06,0.0,0.0,0.0,0.0,
277948,2013-10-07,0.0,0.0,0.0,0.0,
277948,2020-12-25,0.0,1.0,1.0,3.0,32.0
831001,2022-01-14,0.0,0.0,1.0,1.0,104.0
1553023,2017-10-18,0.0,0.0,1.0,1.0,127.0
831001,2021-04-11,1.0,1.0,1.0,2.0,18.0
1324404,2020-11-22,0.0,0.0,0.0,0.0,
1571996,2013-02-26,0.0,0.0,0.0,0.0,
27904,2017-09-01,0.0,1.0,1.0,1.0,52.0
27904,2017-09-26,1.0,1.0,1.0,1.0,27.0
27904,2018-06-18,0.0,0.0,0.0,0.0,
832101,2019-08-13,0.0,0.0,0.0,0.0,
1324404,2021-08-26,0.0,1.0,1.0,1.0,48.0
200406,2018-04-23,0.0,1.0,1.0,1.0,60.0
1001082,2023-02-23,0.0,0.0,1.0,2.0,120.0
1001082,2023-02-22,0.0,0.0,1.0,2.0,121.0
1001082,2023-05-17,0.0,1.0,1.0,5.0,37.0
1001082,2023-02-23,0.0,0.0,1.0,2.0,120.0
1001082,2023-02-22,0.0,0.0,1.0,2.0,121.0
1744489,2016-07-09,0.0,0.0,0.0,0.0,
1792789,2019-05-04,0.0,0.0,0.0,0.0,
1744489,2015-02-25,0.0,0.0,0.0,0.0,
1326160,2017-11-10,0.0,1.0,1.0,1.0,34.0
1326160,2021-05-28,0.0,0.0,1.0,2.0,122.0
1326160,2014-03-24,0.0,1.0,1.0,2.0,43.0
1324404,2025-05-27,0.0,1.0,1.0,2.0,58.0
1841666,2023-01-25,0.0,0.0,0.0,0.0,
1004980,2020-09-25,1.0,1.0,1.0,9.0,3.0
927628,2021-04-13,1.0,1.0,1.0,1.0,24.0
93751,2019-05-03,1.0,1.0,1.0,2.0,14.0
1324404,2016-07-16,0.0,0.0,0.0,0.0,
1324404,2016-07-01,0.0,0.0,0.0,0.0,
874761,2014-01-07,0.0,0.0,0.0,0.0,
874761,2021-09-05,1.0,1.0,1.0,3.0,17.0
1324404,2021-06-13,0.0,1.0,1.0,2.0,37.0
1324404,2021-02-08,0.0,0.0,1.0,1.0,162.0
1324404,2021-06-01,0.0,1.0,1.0,2.0,49.0
1034054,2019-09-18,0.0,1.0,1.0,1.0,89.0
33185,2014-01-31,0.0,0.0,1.0,1.0,101.0
920522,2013-08-13,0.0,0.0,1.0,1.0,171.0
1324404,2016-02-26,0.0,0.0,0.0,0.0,
19617,2020-12-29,1.0,1.0,1.0,3.0,23.0
1326801,2013-11-24,0.0,0.0,1.0,1.0,150.0
1326801,2018-09-01,0.0,0.0,0.0,0.0,
1326801,2018-03-01,0.0,1.0,1.0,3.0,61.0
1326801,2008-06-09,0.0,0.0,0.0,0.0,
1048911,2011-05-01,0.0,0.0,0.0,0.0,
874761,2021-01-01,1.0,1.0,1.0,2.0,14.0
874761,2021-02-01,1.0,1.0,1.0,2.0,28.0
5272,2020-05-07,0.0,0.0,1.0,1.0,172.0
1136893,2023-09-19,0.0,0.0,1.0,3.0,135.0
